reference_date,horizon,location,target,target_end_date,output_type,output_type_id,value
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.01,18.314991407408986
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.025,23.99119831692944
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.05,29.484980435702536
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.1,36.52128620112714
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.15,41.693616828223895
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.2,46.048639184731805
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.25,49.9572365972688
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.3,53.60294939820981
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.35,57.095848259896414
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.4,60.512201637356696
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.45,63.91203953293897
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.5,67.3486926573036
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.55,70.87533925653676
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.6,74.55098012724824
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.65,78.44769562093752
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.7,82.66166981289548
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.75,87.33288478705474
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.8,92.68558085201474
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.85,99.12572714065767
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.9,107.53618366538016
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.95,120.63161456433006
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.975,132.5991116759154
2026-03-21,0,01,wk inc flu hosp,2026-03-21,quantile,0.99,147.22541544562452
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.01,1.3588486527866954
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.025,5.010868409265568
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.05,9.992959888671386
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.1,17.85012446527532
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.15,24.429944008339834
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.2,30.394168927983586
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.25,36.02958071729982
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.3,41.49855759635485
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.35,46.91119141769125
2026-03-21,1,01,wk inc flu hosp,2026-03-28,quantile,0.4,52.35394624022575
