location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,8e-4,0.0019,0.00448606969315133,8e-4,0.0019,0.0045,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
US,1,4.994549267215884e-4,0.0016,0.0046830857249113,5e-4,0.0016,0.0047,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
US,2,3.661325999204593e-4,0.00139713142290931,0.00473392754259635,4e-4,0.0014,0.0047,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Alabama,0,7.633023046481663e-4,0.00183262985606766,0.00372420925123977,8e-4,0.0018,0.0037,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Alabama,1,3.874936793187698e-4,0.00157410796655923,0.004,4e-4,0.0016,0.004,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Alabama,2,2.9785174097480904e-4,0.00138370579204186,0.0044708225766407,3e-4,0.0014,0.0045,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Alaska,0,5.804745793712e-4,0.00222139685617048,0.0048443118194672,6e-4,0.0022,0.0048,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Alaska,1,4.02047566310944e-4,0.00200217748973767,0.006,4e-4,0.002,0.006,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Alaska,2,4.213741428541402e-4,0.0020659743101068,0.00547536452006068,4e-4,0.0021,0.0055,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Arizona,0,0.00217891326477873,0.00459497620270577,0.00754915138379759,0.0022,0.0046,0.0075,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Arizona,1,0.0014752737313421,0.0036,0.00758508147876488,0.0015,0.0036,0.0076,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Arizona,2,8.644665042388847e-4,0.00299952717965941,0.00695941817178764,9e-4,0.003,0.007,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Arkansas,0,2.786132156050845e-4,0.00108095364609992,0.00327708008632487,3e-4,0.0011,0.0033,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Arkansas,1,1.9897281861529415e-4,0.001,0.00342860126415661,2e-4,0.001,0.0034,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Arkansas,2,1.6838598553828809e-4,8.241204492574071e-4,0.00377652005074902,2e-4,8e-4,0.0038,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
California,0,0.0011732352493658,0.0027,0.0058,0.0012,0.0027,0.0058,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
California,1,7.686973151544039e-4,0.00248413152698497,0.006,8e-4,0.0025,0.006,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
California,2,5.220642155851257e-4,0.0019557870868784,0.00515625551017958,5e-4,0.002,0.0052,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Colorado,0,9.834985890998643e-4,0.0019,0.00409329819750303,0.001,0.0019,0.0041,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Colorado,1,6.28386021417869e-4,0.0015058979330231,0.00391996832801493,6e-4,0.0015,0.0039,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Colorado,2,3.9305067303452377e-4,0.00144058592427748,0.00484390095474384,4e-4,0.0014,0.0048,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Connecticut,0,3.1490080102254995e-4,0.00111356289109174,0.00339209320541246,3e-4,0.0011,0.0034,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Connecticut,1,2.7122100779195e-4,0.00101972071578081,0.00357064552622944,3e-4,0.001,0.0036,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Connecticut,2,1.7032904843860926e-4,8.966462473151673e-4,0.00403988217984223,2e-4,9e-4,0.004,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Delaware,0,1.309047524474944e-4,8.248131963495e-4,0.0019182700308326,1e-4,8e-4,0.0019,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Delaware,1,8.548771604226913e-5,7.187981978400555e-4,0.00185787896654872,1e-4,7e-4,0.0019,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Delaware,2,8.482406444558746e-5,7.032696448473242e-4,0.00334250356739373,1e-4,7e-4,0.0033,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
District of Columbia,0,1.769280350227472e-4,0.001,0.00245178210620944,2e-4,0.001,0.0025,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
District of Columbia,1,1.1655964092947131e-4,8.876694236631321e-4,0.00299635182950615,1e-4,9e-4,0.003,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
District of Columbia,2,1.2361265748142994e-4,8.876237989907795e-4,0.00389128076317558,1e-4,9e-4,0.0039,2026-06-13,2026-05-30,"June 13, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Florida,0,0.00118215926315776,0.00272650537213847,0.00515339152923556,0.0012,0.0027,0.0052,2026-05-30,2026-05-30,"May 30, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
Florida,1,4.481195489179577e-4,0.0024448114314967,0.006,4e-4,0.0024,0.006,2026-06-06,2026-05-30,"June 06, 2026","May 30, 2026",2026-05-27,"May 27, 2026",FluSight-ensemble
