reference_date,target,horizon,target_end_date,location,location_name,output_type,output_type_id,value
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.01,0.0012379167162547226
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.01,0
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.01,0
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.01,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.025,0.0012379167162547226
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.025,0
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.025,0
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.025,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.05,0.0012379167162547226
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.05,0
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.05,0
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.05,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.1,0.0012379167162547226
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.1,0
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.1,0
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.1,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.15000000000000002,0.0012379167162547226
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.15000000000000002,0
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.15000000000000002,0
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.15000000000000002,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.2,0.002820034619082191
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.2,0
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.2,0
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.2,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.25,0.0040878872523358745
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.25,0.0015052306366688624
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.25,0
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.25,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.3,0.004798042698394628
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.3,0.003069842627533052
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.3,0
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.3,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.35000000000000003,0.00531894413572654
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.35000000000000003,0.004378624892559393
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.35000000000000003,0.0017513918156304717
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.35000000000000003,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.4,0.00584394995741072
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.4,0.005467147170969418
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.4,0.0033564348681630416
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.4,0
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.45,0.006660353913632765
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.45,0.006665313882794629
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.45,0.00503259958438239
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.45,0.001445473702525602
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.5,0.006849281381135284
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.5,0.0070937506458412704
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.5,0.005831672522747154
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.5,0.002632545669680797
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.55,0.007035341341928254
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.55,0.007469398865037632
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.55,0.006507190246793278
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.55,0.0036643961373883753
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.6000000000000001,0.007268935225451315
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.6000000000000001,0.008051346380938837
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.6000000000000001,0.007739693970679027
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.6000000000000001,0.005486707506202592
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.6500000000000001,0.007487085662043249
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.6500000000000001,0.008867007791771776
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.6500000000000001,0.009242669192925186
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.6500000000000001,0.008129951329558613
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.7000000000000001,0.00797992212972851
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.7000000000000001,0.009731828112061061
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.7000000000000001,0.010783962694759576
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.7000000000000001,0.01086316528325028
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.7500000000000001,0.008477797590309685
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.7500000000000001,0.01057936857473946
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.7500000000000001,0.012090509653486032
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.7500000000000001,0.012903835612833
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.8,0.0088409569535713
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.8,0.011218034410172717
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.8,0.013098310444556647
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.8,0.01421555310275752
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.8500000000000001,0.009089045833677884
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.8500000000000001,0.011681915264363733
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.8500000000000001,0.013834511348172778
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.8500000000000001,0.015407210763101283
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.9000000000000001,0.009220198700123014
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.9000000000000001,0.01205302028818255
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.9000000000000001,0.014522841754625869
2025-11-29,wk inc flu prop ed visits,3,2025-12-20,01,Alabama,quantile,0.9000000000000001,0.016704904636479
2025-11-29,wk inc flu prop ed visits,0,2025-11-29,01,Alabama,quantile,0.95,0.010196737971984492
2025-11-29,wk inc flu prop ed visits,1,2025-12-06,01,Alabama,quantile,0.95,0.014731792850337658
2025-11-29,wk inc flu prop ed visits,2,2025-12-13,01,Alabama,quantile,0.95,0.01892236708300723
