model_id,weight
CMU-TimeSeries,0.299192580986552
Cornell_JHU-hierarchSIR,0.221204463855901
Gatech-ensemble_stat,0.163544880252149
CEPH-Rtrend_fluH,0.120914955288214
NAU-FourCAT,0.0893970290589922
OHT_JHU-nbxd,0.0420175525831007
NAU-vulPES,0.0361286958918713
MIGHTE-Joint,0.0169808705655511
CU-ensemble,0.00375124374236694
MIGHTE-Nsemble,0.00322549829898396
LosAlamos-ThinMint,0.00176312437735397
UM-DeepOutbreak,0.000828687172446537
LosAlamos-DoSiDo,0.000389491767340908
PSI-PROF,0.000247606979396816
UGA_CEID-auto_AVG_LB,0.000247606979396816
LosAlamos_NAU-CModel_Flu,0.000116377908597869
PSI-PROF_MOA,4.70326823220247e-05
NAU-epymorph,2.29525220014832e-06
UVAFluX-Ensemble,6.35726343721771e-09
