model_id,weight
CMU-TimeSeries,0.296345084600461
UGA_flucast-INFLAenza,0.280766847754468
NAU-FourCAT,0.0689598603750161
NAU-vulPES,0.0619002737186041
OHT_JHU-nbxd,0.0526425433426198
UVAFluX-Ensemble,0.040186238117495
Cornell_JHU-hierarchSIR,0.040186238117495
CEPH-Rtrend_fluH,0.0380737322320411
LosAlamos_NAU-CModel_Flu,0.0323794707007594
CU-ensemble,0.021021055991035
Gatech-ensemble_stat,0.0169374068946359
MIGHTE-Joint,0.0136470666572034
UGA_CEID-auto_AVG_LB,0.0136470666572034
PSI-PROF,0.00575186759744609
PSI-PROF_MOA,0.00544950403416778
LUcompUncertLab-puca,0.00373416637771347
MIGHTE-Nsemble,0.00285058604118859
LosAlamos-ThinMint,0.00285058604118859
NAU-epymorph,0.00255876469657026
LosAlamos-DoSiDo,0.000111640052687747
