model_id,weight
UGA_flucast-INFLAenza,0.29992480511921
UMass-flusion,0.245557661562017
NAU-vulPES,0.134764901997274
PSI-PROF_MOA,0.0903356153108012
PSI-PROF,0.0739605463531752
LosAlamos_NAU-CModel_Flu,0.060553773813794
MIGHTE-Nsemble,0.0272085644611406
NAU-FourCAT,0.0272085644611406
NAU-epymorph,0.0182384461821554
OHT_JHU-nbxd,0.0100094714890416
Cornell_JHU-hierarchSIR,0.00549331442433741
MIGHTE-Joint,0.00449754545553192
UVAFluX-Ensemble,0.00135463465901824
CU-ensemble,0.000408008118551954
CEPH-Rtrend_fluH,0.000334048794163972
Gatech-ensemble_stat,0.000150097798646304
