model_id,weight
CMU-TimeSeries,0.295793712724244
NAU-FourCAT,0.124669008694906
CEPH-Rtrend_fluH,0.106023661923333
Cornell_JHU-hierarchSIR,0.106023661923333
NAU-vulPES,0.0809362894267752
OHT_JHU-nbxd,0.0688315554711236
LosAlamos_NAU-CModel_Flu,0.065213225593802
Gatech-ensemble_stat,0.0423370375393801
UVAFluX-Ensemble,0.0341124457222213
CU-ensemble,0.0290106294298192
MIGHTE-Joint,0.0188339726493767
LosAlamos-ThinMint,0.0103985075900437
UGA_CEID-auto_AVG_LB,0.00574116582375804
PSI-PROF,0.00415229957357587
MIGHTE-Nsemble,0.00372721868588803
PSI-PROF_MOA,0.00255400392622224
LosAlamos-DoSiDo,0.00113616924774503
NAU-epymorph,0.000505434054453826
