model_id,weight
CMU-TimeSeries,0.299840207646233
CU-ensemble,0.299840207646233
UMass-flusion,0.173512508445208
CEPH-Rtrend_fluH,0.173512508445208
NAU-vulPES,0.0336243225858475
UGA_flucast-INFLAenza,0.0194578325650202
OHT_JHU-nbxd,0.000141599828564387
Cornell_JHU-hierarchSIR,4.74181454361847e-05
MIGHTE-Joint,1.5879118918458e-05
MIGHTE-Nsemble,3.07715346678808e-06
PSI-PROF_MOA,1.78069719563169e-06
NAU-FourCAT,1.0304596558976e-06
UVAFluX-Ensemble,1.0304596558976e-06
LosAlamos-DoSiDo,1.99688818933442e-07
Gatech-ensemble_stat,1.99688818933442e-07
LosAlamos-ThinMint,1.15556576463163e-07
NAU-epymorph,6.68706562300695e-08
UGA_CEID-auto_AVG_LB,7.49892929389932e-09
PSI-PROF,7.49892929389932e-09
UGA_CEID-Walk,3.9713282936166e-13
LosAlamos_NAU-CModel_Flu,2.298141198254e-13
