model_id,weight
UGA_flucast-INFLAenza,0.299901939257212
PSI-PROF,0.123897616613774
NAU-vulPES,0.123897616613774
PSI-PROF_MOA,0.123897616613774
UMass-flusion,0.123897616613774
CEPH-Rtrend_fluH,0.0796351479123124
CU-ensemble,0.0511854622900861
OHT_JHU-nbxd,0.0511854622900861
CMU-TimeSeries,0.0211461012847165
UM-DeepOutbreak,0.000958347868005101
UVAFluX-Ensemble,0.000395919469633334
Cornell_JHU-hierarchSIR,8.1319107785461e-07
Gatech-ensemble_stat,3.35951266761773e-07
MIGHTE-Nsemble,1.67023796459105e-09
NAU-epymorph,1.67023796459105e-09
LosAlamos-DoSiDo,6.90020556396571e-10
LosAlamos-ThinMint,1.09624595518531e-14
