model_id,weight
OHT_JHU-nbxd,0.299381229607328
MIGHTE-Nsemble,0.252324959005516
Cornell_JHU-hierarchSIR,0.179238581632885
NAU-vulPES,0.10730956375557
CEPH-Rtrend_fluH,0.0642458915290701
CMU-TimeSeries,0.0324181281346005
PSI-PROF,0.0194086293040488
UM-DeepOutbreak,0.0194086293040488
Gatech-ensemble_stat,0.013786884981997
CU-ensemble,0.00586333044022796
NAU-epymorph,0.00249357587998998
PSI-PROF_MOA,0.00210163954674403
LosAlamos-ThinMint,0.00125824485374737
UGA_CEID-auto_AVG_LB,0.000380114702417349
LosAlamos-DoSiDo,0.000380114702417349
LosAlamos_NAU-CModel_Flu,4.82619391948322e-07
