model_id,weight
UGA_flucast-INFLAenza,0.297490588387235
CMU-TimeSeries,0.179537228728767
NAU-vulPES,0.132606034903928
UMass-flusion,0.08853363964839
OHT_JHU-nbxd,0.08853363964839
PSI-PROF_MOA,0.0591089640457893
MIGHTE-Joint,0.0291478918320913
NAU-FourCAT,0.0291478918320913
Cornell_JHU-hierarchSIR,0.0175909152326114
PSI-PROF,0.0159010093574526
LosAlamos-DoSiDo,0.0117444711427931
UGA_CEID-auto_AVG_LB,0.0106162154197454
Gatech-ensemble_stat,0.00959634780214019
CU-ensemble,0.00867445577341617
UVAFluX-Ensemble,0.00784112711589838
MIGHTE-Nsemble,0.00579144940232863
LosAlamos-ThinMint,0.00427755929523529
UGA_CEID-Walk,0.00172354391850618
NAU-epymorph,0.00104016836431185
CEPH-Rtrend_fluH,0.000849916294685185
LUcompUncertLab-puca,0.000228637520095453
LosAlamos_NAU-CModel_Flu,1.83043340985819e-05
