model_id,weight
UGA_flucast-INFLAenza,0.298751511369996
UMass-flusion,0.187656312019957
NAU-vulPES,0.137635950867313
NAU-epymorph,0.0864539724759158
PSI-PROF_MOA,0.0864539724759158
PSI-PROF,0.0634094029659589
LosAlamos_NAU-CModel_Flu,0.0341107356167369
MIGHTE-Nsemble,0.0341107356167369
OHT_JHU-nbxd,0.0183496804872861
NAU-FourCAT,0.0157149448712868
Cornell_JHU-hierarchSIR,0.0115260784830778
LosAlamos-DoSiDo,0.0115260784830778
MIGHTE-Joint,0.00845376718061567
UVAFluX-Ensemble,0.00389468250379461
Gatech-ensemble_stat,0.000826638470128871
CEPH-Rtrend_fluH,0.000606295469813924
LosAlamos-ThinMint,0.000519240642388202
