model_id,weight
CEPH-Rtrend_fluH,0.299467044465152
CU-ensemble,0.168006786820171
NAU-FourCAT,0.168006786820171
UMass-flusion,0.168006786820171
NAU-vulPES,0.07059818079044
PSI-PROF,0.0396069408276127
LosAlamos_NAU-CModel_Flu,0.0222202575782865
Cornell_JHU-hierarchSIR,0.0222202575782865
MIGHTE-Nsemble,0.0124659929933589
OHT_JHU-nbxd,0.00933718090448993
PSI-PROF_MOA,0.00699366246151569
UGA_flucast-INFLAenza,0.00523833854414173
NAU-epymorph,0.00293880893855723
MIGHTE-Joint,0.00164872848605835
LosAlamos-DoSiDo,0.00123491775945277
UGA_CEID-auto_AVG_LB,0.000924968474498642
LosAlamos-ThinMint,0.00069281267701217
UVAFluX-Ensemble,0.000388681271894145
Gatech-ensemble_stat,2.8569643793172e-06
UGA_CEID-Walk,8.82434989918066e-09
