location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,7.7467441392835035,11.714617828508343,15.159074964402524,25945,39234,50770,7.75,11.71,15.16,25945,39234,50770,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
US,1,5.882389912816508,10.980401453927572,16.56092363404739,19701,36775,55465,5.88,10.98,16.56,19701,36775,55465,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
US,2,5.310005695626049,9.99985384346671,14.92737431101713,17784,33491,49994,5.31,10,14.93,17784,33491,49994,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Alabama,0,7.830136158237655,12.743546597531784,18.96850484333072,400,651,969,7.83,12.74,18.97,400,651,969,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Alabama,1,4.756807716129376,11.39284811023579,18.753176098979186,243,582,958,4.76,11.39,18.75,243,582,958,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Alabama,2,3.132054463295062,9.337437368698405,17.93101180236423,160,477,916,3.13,9.34,17.93,160,477,916,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Alaska,0,3.817803508561424,7.362906766511319,11.726110776295803,28,54,86,3.82,7.36,11.73,28,54,86,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Alaska,1,3.6814533832556595,7.771957142428613,13.635012530576514,27,57,100,3.68,7.77,13.64,27,57,100,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Alaska,2,2.863352631421068,7.908307267734378,12.816911778741925,21,58,94,2.86,7.91,12.82,21,58,94,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Arizona,0,17.06286238397792,34.13918128403153,46.54608910581989,1268,2537,3459,17.06,34.14,46.55,1268,2537,3459,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Arizona,1,12.151234016350205,28.204857694651196,48.90097941906605,903,2096,3634,12.15,28.2,48.9,903,2096,3634,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Arizona,2,6.338019071651103,23.145207650190866,44.298850921179266,471,1720,3292,6.34,23.15,44.3,471,1720,3292,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Arkansas,0,4.237658309135218,7.432200726790997,11.767651150752412,130,228,361,4.24,7.43,11.77,130,228,361,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Arkansas,1,4.00947670787409,8.540511361487901,14.212454021407346,123,262,436,4.01,8.54,14.21,123,262,436,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Arkansas,2,3.8138924782216965,9.225056165271281,16.52686740562735,117,283,507,3.81,9.23,16.53,117,283,507,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
California,0,4.758092690571301,8.130333141170377,11.210004785553096,1854,3168,4368,4.76,8.13,11.21,1854,3168,4368,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
California,1,3.616047789112709,7.365548016148669,11.65655717398859,1409,2870,4542,3.62,7.37,11.66,1409,2870,4542,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
California,2,2.661349579354066,6.259432617207875,11.628326850581749,1037,2439,4531,2.66,6.26,11.63,1037,2439,4531,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Colorado,0,6.601322646449832,9.918997687835702,14.427633000488294,388,583,848,6.6,9.92,14.43,388,583,848,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Colorado,1,5.223211475412625,9.680805633582358,14.070344919108276,307,569,827,5.22,9.68,14.07,307,569,827,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Colorado,2,4.1343335131116214,8.183598435418478,13.76409799221112,243,481,809,4.13,8.18,13.76,243,481,809,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Connecticut,0,4.948611845262714,8.680805136382638,13.795292239028456,179,314,499,4.95,8.68,13.8,179,314,499,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Connecticut,1,4.063943805886139,9.620764928220247,16.97456800553802,147,348,614,4.06,9.62,16.97,147,348,614,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Connecticut,2,3.0410463853569745,9.786640185603355,18.522737074447026,110,354,670,3.04,9.79,18.52,110,354,670,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Delaware,0,11.338417854616287,17.44371977633275,25.196484121369526,117,180,260,11.34,17.44,25.2,117,180,260,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Delaware,1,8.528040779540454,15.990076461638354,26.456308327438002,88,165,273,8.53,15.99,26.46,88,165,273,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Delaware,2,6.589849693281261,13.27660894087548,23.83975036098809,68,137,246,6.59,13.28,23.84,68,137,246,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
District of Columbia,0,7.364073923519674,12.666207148453838,19.88299959350312,50,86,135,7.36,12.67,19.88,50,86,135,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
District of Columbia,1,5.891259138815739,13.402614540805805,23.565036555262957,40,91,160,5.89,13.4,23.57,40,91,160,2025-01-18,2025-01-11,"January 18, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
District of Columbia,2,5.007570267993378,12.371644191513052,22.534066205970202,34,84,153,5.01,12.37,22.53,34,84,153,2025-01-25,2025-01-11,"January 25, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
Florida,0,6.227133087190567,9.990833553951342,13.763379380210967,1408,2259,3112,6.23,9.99,13.76,1408,2259,3112,2025-01-11,2025-01-11,"January 11, 2025","January 11, 2025",2025-01-08,"January 08, 2025",FluSight-ensemble
