horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
-1,01,quantile,0.01,2024-11-30,wk inc flu hosp,2024-11-23,42.0
-1,01,quantile,0.025,2024-11-30,wk inc flu hosp,2024-11-23,46.0
-1,01,quantile,0.05,2024-11-30,wk inc flu hosp,2024-11-23,49.0
-1,01,quantile,0.1,2024-11-30,wk inc flu hosp,2024-11-23,50.0
-1,01,quantile,0.15,2024-11-30,wk inc flu hosp,2024-11-23,51.0
-1,01,quantile,0.2,2024-11-30,wk inc flu hosp,2024-11-23,52.0
-1,01,quantile,0.25,2024-11-30,wk inc flu hosp,2024-11-23,52.0
-1,01,quantile,0.3,2024-11-30,wk inc flu hosp,2024-11-23,53.0
-1,01,quantile,0.35,2024-11-30,wk inc flu hosp,2024-11-23,54.0
-1,01,quantile,0.4,2024-11-30,wk inc flu hosp,2024-11-23,54.0
-1,01,quantile,0.45,2024-11-30,wk inc flu hosp,2024-11-23,55.0
-1,01,quantile,0.5,2024-11-30,wk inc flu hosp,2024-11-23,56.0
-1,01,quantile,0.55,2024-11-30,wk inc flu hosp,2024-11-23,56.0
-1,01,quantile,0.6,2024-11-30,wk inc flu hosp,2024-11-23,57.0
-1,01,quantile,0.65,2024-11-30,wk inc flu hosp,2024-11-23,58.0
-1,01,quantile,0.7,2024-11-30,wk inc flu hosp,2024-11-23,59.0
-1,01,quantile,0.75,2024-11-30,wk inc flu hosp,2024-11-23,59.0
-1,01,quantile,0.8,2024-11-30,wk inc flu hosp,2024-11-23,60.0
-1,01,quantile,0.85,2024-11-30,wk inc flu hosp,2024-11-23,61.0
-1,01,quantile,0.9,2024-11-30,wk inc flu hosp,2024-11-23,62.0
-1,01,quantile,0.95,2024-11-30,wk inc flu hosp,2024-11-23,63.0
-1,01,quantile,0.975,2024-11-30,wk inc flu hosp,2024-11-23,64.0
-1,01,quantile,0.99,2024-11-30,wk inc flu hosp,2024-11-23,65.0
0,01,quantile,0.01,2024-11-30,wk inc flu hosp,2024-11-30,46.0
0,01,quantile,0.025,2024-11-30,wk inc flu hosp,2024-11-30,48.0
0,01,quantile,0.05,2024-11-30,wk inc flu hosp,2024-11-30,49.0
0,01,quantile,0.1,2024-11-30,wk inc flu hosp,2024-11-30,50.0
0,01,quantile,0.15,2024-11-30,wk inc flu hosp,2024-11-30,51.0
0,01,quantile,0.2,2024-11-30,wk inc flu hosp,2024-11-30,52.0
0,01,quantile,0.25,2024-11-30,wk inc flu hosp,2024-11-30,53.0
0,01,quantile,0.3,2024-11-30,wk inc flu hosp,2024-11-30,55.0
0,01,quantile,0.35,2024-11-30,wk inc flu hosp,2024-11-30,56.0
0,01,quantile,0.4,2024-11-30,wk inc flu hosp,2024-11-30,57.0
0,01,quantile,0.45,2024-11-30,wk inc flu hosp,2024-11-30,60.0
0,01,quantile,0.5,2024-11-30,wk inc flu hosp,2024-11-30,64.0
0,01,quantile,0.55,2024-11-30,wk inc flu hosp,2024-11-30,66.0
0,01,quantile,0.6,2024-11-30,wk inc flu hosp,2024-11-30,66.0
0,01,quantile,0.65,2024-11-30,wk inc flu hosp,2024-11-30,67.0
0,01,quantile,0.7,2024-11-30,wk inc flu hosp,2024-11-30,67.0
0,01,quantile,0.75,2024-11-30,wk inc flu hosp,2024-11-30,68.0
0,01,quantile,0.8,2024-11-30,wk inc flu hosp,2024-11-30,69.0
0,01,quantile,0.85,2024-11-30,wk inc flu hosp,2024-11-30,70.0
0,01,quantile,0.9,2024-11-30,wk inc flu hosp,2024-11-30,72.0
0,01,quantile,0.95,2024-11-30,wk inc flu hosp,2024-11-30,75.0
0,01,quantile,0.975,2024-11-30,wk inc flu hosp,2024-11-30,78.0
0,01,quantile,0.99,2024-11-30,wk inc flu hosp,2024-11-30,82.0
1,01,quantile,0.01,2024-11-30,wk inc flu hosp,2024-12-07,42.0
1,01,quantile,0.025,2024-11-30,wk inc flu hosp,2024-12-07,45.0
1,01,quantile,0.05,2024-11-30,wk inc flu hosp,2024-12-07,49.0
1,01,quantile,0.1,2024-11-30,wk inc flu hosp,2024-12-07,53.0
1,01,quantile,0.15,2024-11-30,wk inc flu hosp,2024-12-07,57.0
1,01,quantile,0.2,2024-11-30,wk inc flu hosp,2024-12-07,59.0
1,01,quantile,0.25,2024-11-30,wk inc flu hosp,2024-12-07,61.0
1,01,quantile,0.3,2024-11-30,wk inc flu hosp,2024-12-07,63.0
1,01,quantile,0.35,2024-11-30,wk inc flu hosp,2024-12-07,65.0
1,01,quantile,0.4,2024-11-30,wk inc flu hosp,2024-12-07,66.0
1,01,quantile,0.45,2024-11-30,wk inc flu hosp,2024-12-07,68.0
1,01,quantile,0.5,2024-11-30,wk inc flu hosp,2024-12-07,70.0
1,01,quantile,0.55,2024-11-30,wk inc flu hosp,2024-12-07,72.0
1,01,quantile,0.6,2024-11-30,wk inc flu hosp,2024-12-07,75.0
1,01,quantile,0.65,2024-11-30,wk inc flu hosp,2024-12-07,78.0
1,01,quantile,0.7,2024-11-30,wk inc flu hosp,2024-12-07,80.0
1,01,quantile,0.75,2024-11-30,wk inc flu hosp,2024-12-07,81.0
1,01,quantile,0.8,2024-11-30,wk inc flu hosp,2024-12-07,82.0
1,01,quantile,0.85,2024-11-30,wk inc flu hosp,2024-12-07,83.0
1,01,quantile,0.9,2024-11-30,wk inc flu hosp,2024-12-07,86.0
1,01,quantile,0.95,2024-11-30,wk inc flu hosp,2024-12-07,91.0
1,01,quantile,0.975,2024-11-30,wk inc flu hosp,2024-12-07,95.0
1,01,quantile,0.99,2024-11-30,wk inc flu hosp,2024-12-07,99.0
2,01,quantile,0.01,2024-11-30,wk inc flu hosp,2024-12-14,44.0
2,01,quantile,0.025,2024-11-30,wk inc flu hosp,2024-12-14,49.0
2,01,quantile,0.05,2024-11-30,wk inc flu hosp,2024-12-14,54.0
2,01,quantile,0.1,2024-11-30,wk inc flu hosp,2024-12-14,60.0
