horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
0,01,quantile,0.01,2026-01-10,wk inc flu hosp,2026-01-10,251.0
0,01,quantile,0.025,2026-01-10,wk inc flu hosp,2026-01-10,270.0
0,01,quantile,0.05,2026-01-10,wk inc flu hosp,2026-01-10,289.0
0,01,quantile,0.1,2026-01-10,wk inc flu hosp,2026-01-10,311.0
0,01,quantile,0.15,2026-01-10,wk inc flu hosp,2026-01-10,327.0
0,01,quantile,0.2,2026-01-10,wk inc flu hosp,2026-01-10,341.0
0,01,quantile,0.25,2026-01-10,wk inc flu hosp,2026-01-10,352.0
0,01,quantile,0.3,2026-01-10,wk inc flu hosp,2026-01-10,363.0
0,01,quantile,0.35,2026-01-10,wk inc flu hosp,2026-01-10,372.0
0,01,quantile,0.4,2026-01-10,wk inc flu hosp,2026-01-10,382.0
0,01,quantile,0.45,2026-01-10,wk inc flu hosp,2026-01-10,390.0
0,01,quantile,0.5,2026-01-10,wk inc flu hosp,2026-01-10,399.0
0,01,quantile,0.55,2026-01-10,wk inc flu hosp,2026-01-10,408.0
0,01,quantile,0.6,2026-01-10,wk inc flu hosp,2026-01-10,418.0
0,01,quantile,0.65,2026-01-10,wk inc flu hosp,2026-01-10,428.0
0,01,quantile,0.7,2026-01-10,wk inc flu hosp,2026-01-10,439.0
0,01,quantile,0.75,2026-01-10,wk inc flu hosp,2026-01-10,451.0
0,01,quantile,0.8,2026-01-10,wk inc flu hosp,2026-01-10,464.0
0,01,quantile,0.85,2026-01-10,wk inc flu hosp,2026-01-10,481.0
0,01,quantile,0.9,2026-01-10,wk inc flu hosp,2026-01-10,503.0
0,01,quantile,0.95,2026-01-10,wk inc flu hosp,2026-01-10,538.0
0,01,quantile,0.975,2026-01-10,wk inc flu hosp,2026-01-10,572.0
0,01,quantile,0.99,2026-01-10,wk inc flu hosp,2026-01-10,617.0
1,01,quantile,0.01,2026-01-10,wk inc flu hosp,2026-01-17,139.0
1,01,quantile,0.025,2026-01-10,wk inc flu hosp,2026-01-17,163.0
1,01,quantile,0.05,2026-01-10,wk inc flu hosp,2026-01-17,194.0
1,01,quantile,0.1,2026-01-10,wk inc flu hosp,2026-01-17,227.0
1,01,quantile,0.15,2026-01-10,wk inc flu hosp,2026-01-17,250.0
1,01,quantile,0.2,2026-01-10,wk inc flu hosp,2026-01-17,269.0
1,01,quantile,0.25,2026-01-10,wk inc flu hosp,2026-01-17,286.0
1,01,quantile,0.3,2026-01-10,wk inc flu hosp,2026-01-17,301.0
1,01,quantile,0.35,2026-01-10,wk inc flu hosp,2026-01-17,317.0
1,01,quantile,0.4,2026-01-10,wk inc flu hosp,2026-01-17,332.0
1,01,quantile,0.45,2026-01-10,wk inc flu hosp,2026-01-17,347.0
1,01,quantile,0.5,2026-01-10,wk inc flu hosp,2026-01-17,362.0
1,01,quantile,0.55,2026-01-10,wk inc flu hosp,2026-01-17,379.0
1,01,quantile,0.6,2026-01-10,wk inc flu hosp,2026-01-17,395.0
1,01,quantile,0.65,2026-01-10,wk inc flu hosp,2026-01-17,414.0
1,01,quantile,0.7,2026-01-10,wk inc flu hosp,2026-01-17,434.0
1,01,quantile,0.75,2026-01-10,wk inc flu hosp,2026-01-17,459.0
1,01,quantile,0.8,2026-01-10,wk inc flu hosp,2026-01-17,486.0
1,01,quantile,0.85,2026-01-10,wk inc flu hosp,2026-01-17,519.0
1,01,quantile,0.9,2026-01-10,wk inc flu hosp,2026-01-17,568.0
1,01,quantile,0.95,2026-01-10,wk inc flu hosp,2026-01-17,658.0
1,01,quantile,0.975,2026-01-10,wk inc flu hosp,2026-01-17,732.0
1,01,quantile,0.99,2026-01-10,wk inc flu hosp,2026-01-17,843.0
2,01,quantile,0.01,2026-01-10,wk inc flu hosp,2026-01-24,168.0
2,01,quantile,0.025,2026-01-10,wk inc flu hosp,2026-01-24,195.0
2,01,quantile,0.05,2026-01-10,wk inc flu hosp,2026-01-24,224.0
2,01,quantile,0.1,2026-01-10,wk inc flu hosp,2026-01-24,255.0
2,01,quantile,0.15,2026-01-10,wk inc flu hosp,2026-01-24,278.0
2,01,quantile,0.2,2026-01-10,wk inc flu hosp,2026-01-24,298.0
2,01,quantile,0.25,2026-01-10,wk inc flu hosp,2026-01-24,314.0
2,01,quantile,0.3,2026-01-10,wk inc flu hosp,2026-01-24,331.0
2,01,quantile,0.35,2026-01-10,wk inc flu hosp,2026-01-24,346.0
2,01,quantile,0.4,2026-01-10,wk inc flu hosp,2026-01-24,361.0
2,01,quantile,0.45,2026-01-10,wk inc flu hosp,2026-01-24,378.0
2,01,quantile,0.5,2026-01-10,wk inc flu hosp,2026-01-24,391.0
2,01,quantile,0.55,2026-01-10,wk inc flu hosp,2026-01-24,406.0
2,01,quantile,0.6,2026-01-10,wk inc flu hosp,2026-01-24,422.0
2,01,quantile,0.65,2026-01-10,wk inc flu hosp,2026-01-24,441.0
2,01,quantile,0.7,2026-01-10,wk inc flu hosp,2026-01-24,461.0
2,01,quantile,0.75,2026-01-10,wk inc flu hosp,2026-01-24,483.0
2,01,quantile,0.8,2026-01-10,wk inc flu hosp,2026-01-24,508.0
2,01,quantile,0.85,2026-01-10,wk inc flu hosp,2026-01-24,538.0
2,01,quantile,0.9,2026-01-10,wk inc flu hosp,2026-01-24,580.0
2,01,quantile,0.95,2026-01-10,wk inc flu hosp,2026-01-24,651.0
2,01,quantile,0.975,2026-01-10,wk inc flu hosp,2026-01-24,723.0
2,01,quantile,0.99,2026-01-10,wk inc flu hosp,2026-01-24,819.0
3,01,quantile,0.01,2026-01-10,wk inc flu hosp,2026-01-31,182.0
3,01,quantile,0.025,2026-01-10,wk inc flu hosp,2026-01-31,213.0
3,01,quantile,0.05,2026-01-10,wk inc flu hosp,2026-01-31,238.0
3,01,quantile,0.1,2026-01-10,wk inc flu hosp,2026-01-31,268.0
3,01,quantile,0.15,2026-01-10,wk inc flu hosp,2026-01-31,289.0
3,01,quantile,0.2,2026-01-10,wk inc flu hosp,2026-01-31,306.0
3,01,quantile,0.25,2026-01-10,wk inc flu hosp,2026-01-31,320.0
3,01,quantile,0.3,2026-01-10,wk inc flu hosp,2026-01-31,336.0
3,01,quantile,0.35,2026-01-10,wk inc flu hosp,2026-01-31,347.0
3,01,quantile,0.4,2026-01-10,wk inc flu hosp,2026-01-31,360.0
