horizon,location,output_type,output_type_id,reference_date,target,target_end_date,total,value
-1,01,quantile,0.01,2025-01-04,wk inc flu hosp,2024-12-28,,397.0
-1,01,quantile,0.025,2025-01-04,wk inc flu hosp,2024-12-28,,424.0
-1,01,quantile,0.05,2025-01-04,wk inc flu hosp,2024-12-28,,450.0
-1,01,quantile,0.1,2025-01-04,wk inc flu hosp,2024-12-28,,481.0
-1,01,quantile,0.15,2025-01-04,wk inc flu hosp,2024-12-28,,504.0
-1,01,quantile,0.2,2025-01-04,wk inc flu hosp,2024-12-28,,526.0
-1,01,quantile,0.25,2025-01-04,wk inc flu hosp,2024-12-28,,545.0
-1,01,quantile,0.3,2025-01-04,wk inc flu hosp,2024-12-28,,563.0
-1,01,quantile,0.35,2025-01-04,wk inc flu hosp,2024-12-28,,580.0
-1,01,quantile,0.4,2025-01-04,wk inc flu hosp,2024-12-28,,596.0
-1,01,quantile,0.45,2025-01-04,wk inc flu hosp,2024-12-28,,613.0
-1,01,quantile,0.5,2025-01-04,wk inc flu hosp,2024-12-28,,634.0
-1,01,quantile,0.55,2025-01-04,wk inc flu hosp,2024-12-28,,653.0
-1,01,quantile,0.6,2025-01-04,wk inc flu hosp,2024-12-28,,673.0
-1,01,quantile,0.65,2025-01-04,wk inc flu hosp,2024-12-28,,695.0
-1,01,quantile,0.7,2025-01-04,wk inc flu hosp,2024-12-28,,720.0
-1,01,quantile,0.75,2025-01-04,wk inc flu hosp,2024-12-28,,748.0
-1,01,quantile,0.8,2025-01-04,wk inc flu hosp,2024-12-28,,783.0
-1,01,quantile,0.85,2025-01-04,wk inc flu hosp,2024-12-28,,828.0
-1,01,quantile,0.9,2025-01-04,wk inc flu hosp,2024-12-28,,893.0
-1,01,quantile,0.95,2025-01-04,wk inc flu hosp,2024-12-28,,1001.0
-1,01,quantile,0.975,2025-01-04,wk inc flu hosp,2024-12-28,,1119.0
-1,01,quantile,0.99,2025-01-04,wk inc flu hosp,2024-12-28,,1274.0
0,01,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-04,,447.0
0,01,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-04,,483.0
0,01,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-04,,519.0
0,01,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-04,,565.0
0,01,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-04,,598.0
0,01,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-04,,625.0
0,01,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-04,,652.0
0,01,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-04,,677.0
0,01,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-04,,701.0
0,01,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-04,,727.0
0,01,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-04,,752.0
0,01,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-04,,777.0
0,01,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-04,,805.0
0,01,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-04,,836.0
0,01,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-04,,868.0
0,01,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-04,,905.0
0,01,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-04,,949.0
0,01,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-04,,999.0
0,01,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-04,,1066.0
0,01,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-04,,1156.0
0,01,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-04,,1318.0
0,01,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-04,,1488.0
0,01,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-04,,1730.0
1,01,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-11,,436.0
1,01,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-11,,482.0
1,01,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-11,,527.0
1,01,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-11,,582.0
1,01,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-11,,625.0
1,01,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-11,,659.0
1,01,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-11,,690.0
1,01,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-11,,720.0
1,01,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-11,,750.0
1,01,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-11,,780.0
1,01,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-11,,811.0
1,01,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-11,,847.0
1,01,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-11,,878.0
1,01,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-11,,914.0
1,01,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-11,,951.0
1,01,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-11,,992.0
1,01,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-11,,1042.0
1,01,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-11,,1101.0
1,01,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-11,,1171.0
1,01,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-11,,1278.0
1,01,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-11,,1468.0
1,01,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-11,,1665.0
1,01,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-11,,1913.0
2,01,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-18,,416.0
2,01,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-18,,480.0
2,01,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-18,,536.0
2,01,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-18,,600.0
2,01,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-18,,649.0
2,01,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-18,,690.0
2,01,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-18,,729.0
2,01,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-18,,764.0
2,01,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-18,,796.0
2,01,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-18,,830.0
2,01,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-18,,865.0
2,01,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-18,,902.0
2,01,quantile,0.55,2025-01-04,wk inc flu hosp,2025-01-18,,937.0
2,01,quantile,0.6,2025-01-04,wk inc flu hosp,2025-01-18,,977.0
2,01,quantile,0.65,2025-01-04,wk inc flu hosp,2025-01-18,,1023.0
2,01,quantile,0.7,2025-01-04,wk inc flu hosp,2025-01-18,,1070.0
2,01,quantile,0.75,2025-01-04,wk inc flu hosp,2025-01-18,,1123.0
2,01,quantile,0.8,2025-01-04,wk inc flu hosp,2025-01-18,,1189.0
2,01,quantile,0.85,2025-01-04,wk inc flu hosp,2025-01-18,,1273.0
2,01,quantile,0.9,2025-01-04,wk inc flu hosp,2025-01-18,,1393.0
2,01,quantile,0.95,2025-01-04,wk inc flu hosp,2025-01-18,,1603.0
2,01,quantile,0.975,2025-01-04,wk inc flu hosp,2025-01-18,,1812.0
2,01,quantile,0.99,2025-01-04,wk inc flu hosp,2025-01-18,,2148.0
3,01,quantile,0.01,2025-01-04,wk inc flu hosp,2025-01-25,,421.0
3,01,quantile,0.025,2025-01-04,wk inc flu hosp,2025-01-25,,491.0
3,01,quantile,0.05,2025-01-04,wk inc flu hosp,2025-01-25,,553.0
3,01,quantile,0.1,2025-01-04,wk inc flu hosp,2025-01-25,,626.0
3,01,quantile,0.15,2025-01-04,wk inc flu hosp,2025-01-25,,681.0
3,01,quantile,0.2,2025-01-04,wk inc flu hosp,2025-01-25,,728.0
3,01,quantile,0.25,2025-01-04,wk inc flu hosp,2025-01-25,,768.0
3,01,quantile,0.3,2025-01-04,wk inc flu hosp,2025-01-25,,808.0
3,01,quantile,0.35,2025-01-04,wk inc flu hosp,2025-01-25,,846.0
3,01,quantile,0.4,2025-01-04,wk inc flu hosp,2025-01-25,,882.0
3,01,quantile,0.45,2025-01-04,wk inc flu hosp,2025-01-25,,919.0
3,01,quantile,0.5,2025-01-04,wk inc flu hosp,2025-01-25,,960.0
