horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
-1,01,quantile,0.01,2025-12-06,wk inc flu hosp,2025-11-29,16.0
-1,01,quantile,0.025,2025-12-06,wk inc flu hosp,2025-11-29,17.0
-1,01,quantile,0.05,2025-12-06,wk inc flu hosp,2025-11-29,19.0
-1,01,quantile,0.1,2025-12-06,wk inc flu hosp,2025-11-29,21.0
-1,01,quantile,0.15,2025-12-06,wk inc flu hosp,2025-11-29,23.0
-1,01,quantile,0.2,2025-12-06,wk inc flu hosp,2025-11-29,25.0
-1,01,quantile,0.25,2025-12-06,wk inc flu hosp,2025-11-29,28.0
-1,01,quantile,0.3,2025-12-06,wk inc flu hosp,2025-11-29,30.0
-1,01,quantile,0.35,2025-12-06,wk inc flu hosp,2025-11-29,32.0
-1,01,quantile,0.4,2025-12-06,wk inc flu hosp,2025-11-29,34.0
-1,01,quantile,0.45,2025-12-06,wk inc flu hosp,2025-11-29,36.0
-1,01,quantile,0.5,2025-12-06,wk inc flu hosp,2025-11-29,38.0
-1,01,quantile,0.55,2025-12-06,wk inc flu hosp,2025-11-29,40.0
-1,01,quantile,0.6,2025-12-06,wk inc flu hosp,2025-11-29,42.0
-1,01,quantile,0.65,2025-12-06,wk inc flu hosp,2025-11-29,44.0
-1,01,quantile,0.7,2025-12-06,wk inc flu hosp,2025-11-29,46.0
-1,01,quantile,0.75,2025-12-06,wk inc flu hosp,2025-11-29,48.0
-1,01,quantile,0.8,2025-12-06,wk inc flu hosp,2025-11-29,51.0
-1,01,quantile,0.85,2025-12-06,wk inc flu hosp,2025-11-29,54.0
-1,01,quantile,0.9,2025-12-06,wk inc flu hosp,2025-11-29,58.0
-1,01,quantile,0.95,2025-12-06,wk inc flu hosp,2025-11-29,64.0
-1,01,quantile,0.975,2025-12-06,wk inc flu hosp,2025-11-29,68.0
-1,01,quantile,0.99,2025-12-06,wk inc flu hosp,2025-11-29,72.0
0,01,quantile,0.01,2025-12-06,wk inc flu hosp,2025-12-06,9.0
0,01,quantile,0.025,2025-12-06,wk inc flu hosp,2025-12-06,12.0
0,01,quantile,0.05,2025-12-06,wk inc flu hosp,2025-12-06,15.0
0,01,quantile,0.1,2025-12-06,wk inc flu hosp,2025-12-06,18.0
0,01,quantile,0.15,2025-12-06,wk inc flu hosp,2025-12-06,20.0
0,01,quantile,0.2,2025-12-06,wk inc flu hosp,2025-12-06,24.0
0,01,quantile,0.25,2025-12-06,wk inc flu hosp,2025-12-06,27.0
0,01,quantile,0.3,2025-12-06,wk inc flu hosp,2025-12-06,30.0
0,01,quantile,0.35,2025-12-06,wk inc flu hosp,2025-12-06,32.0
0,01,quantile,0.4,2025-12-06,wk inc flu hosp,2025-12-06,34.0
0,01,quantile,0.45,2025-12-06,wk inc flu hosp,2025-12-06,37.0
0,01,quantile,0.5,2025-12-06,wk inc flu hosp,2025-12-06,40.0
0,01,quantile,0.55,2025-12-06,wk inc flu hosp,2025-12-06,42.0
0,01,quantile,0.6,2025-12-06,wk inc flu hosp,2025-12-06,45.0
0,01,quantile,0.65,2025-12-06,wk inc flu hosp,2025-12-06,47.0
0,01,quantile,0.7,2025-12-06,wk inc flu hosp,2025-12-06,49.0
0,01,quantile,0.75,2025-12-06,wk inc flu hosp,2025-12-06,52.0
0,01,quantile,0.8,2025-12-06,wk inc flu hosp,2025-12-06,57.0
0,01,quantile,0.85,2025-12-06,wk inc flu hosp,2025-12-06,63.0
0,01,quantile,0.9,2025-12-06,wk inc flu hosp,2025-12-06,71.0
0,01,quantile,0.95,2025-12-06,wk inc flu hosp,2025-12-06,82.0
0,01,quantile,0.975,2025-12-06,wk inc flu hosp,2025-12-06,91.0
0,01,quantile,0.99,2025-12-06,wk inc flu hosp,2025-12-06,106.0
1,01,quantile,0.01,2025-12-06,wk inc flu hosp,2025-12-13,15.0
1,01,quantile,0.025,2025-12-06,wk inc flu hosp,2025-12-13,18.0
1,01,quantile,0.05,2025-12-06,wk inc flu hosp,2025-12-13,21.0
1,01,quantile,0.1,2025-12-06,wk inc flu hosp,2025-12-13,24.0
1,01,quantile,0.15,2025-12-06,wk inc flu hosp,2025-12-13,27.0
1,01,quantile,0.2,2025-12-06,wk inc flu hosp,2025-12-13,29.0
1,01,quantile,0.25,2025-12-06,wk inc flu hosp,2025-12-13,31.0
1,01,quantile,0.3,2025-12-06,wk inc flu hosp,2025-12-13,35.0
1,01,quantile,0.35,2025-12-06,wk inc flu hosp,2025-12-13,38.0
1,01,quantile,0.4,2025-12-06,wk inc flu hosp,2025-12-13,41.0
1,01,quantile,0.45,2025-12-06,wk inc flu hosp,2025-12-13,45.0
1,01,quantile,0.5,2025-12-06,wk inc flu hosp,2025-12-13,48.0
1,01,quantile,0.55,2025-12-06,wk inc flu hosp,2025-12-13,51.0
1,01,quantile,0.6,2025-12-06,wk inc flu hosp,2025-12-13,55.0
1,01,quantile,0.65,2025-12-06,wk inc flu hosp,2025-12-13,58.0
1,01,quantile,0.7,2025-12-06,wk inc flu hosp,2025-12-13,63.0
1,01,quantile,0.75,2025-12-06,wk inc flu hosp,2025-12-13,69.0
1,01,quantile,0.8,2025-12-06,wk inc flu hosp,2025-12-13,75.0
1,01,quantile,0.85,2025-12-06,wk inc flu hosp,2025-12-13,83.0
1,01,quantile,0.9,2025-12-06,wk inc flu hosp,2025-12-13,91.0
1,01,quantile,0.95,2025-12-06,wk inc flu hosp,2025-12-13,107.0
1,01,quantile,0.975,2025-12-06,wk inc flu hosp,2025-12-13,119.0
1,01,quantile,0.99,2025-12-06,wk inc flu hosp,2025-12-13,133.0
2,01,quantile,0.01,2025-12-06,wk inc flu hosp,2025-12-20,18.0
2,01,quantile,0.025,2025-12-06,wk inc flu hosp,2025-12-20,22.0
2,01,quantile,0.05,2025-12-06,wk inc flu hosp,2025-12-20,26.0
2,01,quantile,0.1,2025-12-06,wk inc flu hosp,2025-12-20,33.0
2,01,quantile,0.15,2025-12-06,wk inc flu hosp,2025-12-20,39.0
2,01,quantile,0.2,2025-12-06,wk inc flu hosp,2025-12-20,43.0
2,01,quantile,0.25,2025-12-06,wk inc flu hosp,2025-12-20,48.0
2,01,quantile,0.3,2025-12-06,wk inc flu hosp,2025-12-20,54.0
2,01,quantile,0.35,2025-12-06,wk inc flu hosp,2025-12-20,59.0
2,01,quantile,0.4,2025-12-06,wk inc flu hosp,2025-12-20,63.0
2,01,quantile,0.45,2025-12-06,wk inc flu hosp,2025-12-20,68.0
2,01,quantile,0.5,2025-12-06,wk inc flu hosp,2025-12-20,74.0
2,01,quantile,0.55,2025-12-06,wk inc flu hosp,2025-12-20,79.0
2,01,quantile,0.6,2025-12-06,wk inc flu hosp,2025-12-20,85.0
2,01,quantile,0.65,2025-12-06,wk inc flu hosp,2025-12-20,90.0
2,01,quantile,0.7,2025-12-06,wk inc flu hosp,2025-12-20,96.0
2,01,quantile,0.75,2025-12-06,wk inc flu hosp,2025-12-20,102.0
2,01,quantile,0.8,2025-12-06,wk inc flu hosp,2025-12-20,109.0
2,01,quantile,0.85,2025-12-06,wk inc flu hosp,2025-12-20,117.0
2,01,quantile,0.9,2025-12-06,wk inc flu hosp,2025-12-20,127.0
