location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,8.03951823793e-4,0.00334708832204453,0.00662936267544256,8e-4,0.0033,0.0066,2026-05-02,2026-05-02,"May 02, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
US,1,6e-4,0.00274373317668167,0.00710184385502553,6e-4,0.0027,0.0071,2026-05-09,2026-05-02,"May 09, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
US,2,3.727695886829e-4,0.00229941918661255,0.0070969877892371,4e-4,0.0023,0.0071,2026-05-16,2026-05-02,"May 16, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
Alabama,0,9.3875562282059e-4,0.00348953493205283,0.00692884276000351,9e-4,0.0035,0.0069,2026-05-02,2026-05-02,"May 02, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
Alabama,1,6e-4,0.0027,0.00714645904300241,6e-4,0.0027,0.0071,2026-05-09,2026-05-02,"May 09, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
Alabama,2,4.6614962941333505e-4,0.0022130771425327,0.00780213366882438,5e-4,0.0022,0.0078,2026-05-16,2026-05-02,"May 16, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
Alaska,0,0.00297391567145339,0.00785272454568551,0.01443374306637136,0.003,0.0079,0.0144,2026-05-02,2026-05-02,"May 02, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
Alaska,1,0.00111583432064929,0.00705845697398065,0.01499357211481837,0.0011,0.0071,0.015,2026-05-09,2026-05-02,"May 09, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
Alaska,2,0.00111812643706883,0.00632949528312764,0.01568984654793413,0.0011,0.0063,0.0157,2026-05-16,2026-05-02,"May 16, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
Arizona,0,0.00328076215728274,0.0065,0.01070988602333555,0.0033,0.0065,0.0107,2026-05-02,2026-05-02,"May 02, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
Arizona,1,0.00234723055263528,0.0058,0.011,0.0023,0.0058,0.011,2026-05-09,2026-05-02,"May 09, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
Arizona,2,0.00168446988408267,0.00500767845374995,0.01103109967817934,0.0017,0.005,0.011,2026-05-16,2026-05-02,"May 16, 2026","May 02, 2026",2026-04-29,"April 29, 2026",FluSight-ensemble
