output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,1318.99,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.025,1399,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.05,1481.9,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.1,1573.9,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.15,1643.85,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.2,1692.8,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.25,1738,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.3,1786,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.35,1825,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.4,1866.6000000000001,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.45,1905,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.5,1953,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.55,1991,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.6,2038,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.65,2077.3500000000004,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.7,2127,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.75,2182.25,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.8,2253.2,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.85,2337.1499999999996,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.9,2440,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.95,2635.05,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.975,2834.0999999999995,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.99,3081.0699999999997,2025-05-17,wk inc flu hosp,0,2025-05-17,US
quantile,0.01,662.98,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.025,774.875,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.05,881.9499999999999,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.1,1025.8,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.15,1134,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.2,1219.8,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.25,1295,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.3,1372.6999999999998,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.35,1450,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.4,1525.6,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.45,1602.65,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.5,1691.5,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.55,1780,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.6,1880.1999999999996,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.65,2014.3500000000001,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.7,2134,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.75,2252,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.8,2432,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.85,2679.749999999999,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.9,3085.1,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.95,3683.5,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.975,4363.025,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.99,5326.58,2025-05-17,wk inc flu hosp,1,2025-05-24,US
quantile,0.01,9,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.025,11,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.05,12,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.1,14,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.15,15,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.2,16,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.25,17,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.3,17,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.35,18,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.4,19,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.45,19,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.5,20,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.55,21,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.6,22,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.65,22,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.7,23,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.75,24,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.8,26,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.85,27,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.9,28,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.95,30.049999999999955,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.975,32,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.99,35.00999999999999,2025-05-17,wk inc flu hosp,0,2025-05-17,01
quantile,0.01,3,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.025,4,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.05,6,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.1,7,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.15,8,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.2,9,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.25,10,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.3,11,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.35,12,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.4,13,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.45,14,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.5,14,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.55,15,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.6,17,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.65,17,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.7,19,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.75,20.25,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.8,23,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.85,25,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.9,28,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.95,35,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.975,42,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.99,51.00999999999999,2025-05-17,wk inc flu hosp,1,2025-05-24,01
quantile,0.01,0,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.025,0,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.05,0,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.1,0,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.15,0,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.2,1,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.25,1,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.3,1,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.35,1,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.4,1,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.45,1,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.5,2,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.55,2,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.6,2,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.65,2,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.7,2,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.75,3,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.8,3,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.85,3,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.9,4,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.95,5,2025-05-17,wk inc flu hosp,0,2025-05-17,02
quantile,0.975,6,2025-05-17,wk inc flu hosp,0,2025-05-17,02
