location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,0.01056967261625619,0.0161525427234166,0.0231,0.0106,0.0162,0.0231,2026-03-21,2026-03-21,"March 21, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
US,1,0.00564025075329193,0.0132,0.0230889632079623,0.0056,0.0132,0.0231,2026-03-28,2026-03-21,"March 28, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
US,2,0.0028065144956036,0.0110261625501288,0.0223497196871384,0.0028,0.011,0.0223,2026-04-04,2026-03-21,"April 04, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
Alabama,0,0.01205549234953996,0.01950937666801149,0.032,0.0121,0.0195,0.032,2026-03-21,2026-03-21,"March 21, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
Alabama,1,0.00583688436984462,0.01531843460600416,0.03733504618801435,0.0058,0.0153,0.0373,2026-03-28,2026-03-21,"March 28, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
Alabama,2,0.00333506752704195,0.01095643437405686,0.03306476641317106,0.0033,0.011,0.0331,2026-04-04,2026-03-21,"April 04, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
Alaska,0,0.00847956115392253,0.01661909085701161,0.02619739236182682,0.0085,0.0166,0.0262,2026-03-21,2026-03-21,"March 21, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
Alaska,1,0.00494809609734685,0.015,0.02874239414111545,0.0049,0.015,0.0287,2026-03-28,2026-03-21,"March 28, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
Alaska,2,0.00255223231612918,0.01312735660130239,0.02931979423822304,0.0026,0.0131,0.0293,2026-04-04,2026-03-21,"April 04, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
Arizona,0,0.01072710131313787,0.01793348732572175,0.02636754186416161,0.0107,0.0179,0.0264,2026-03-21,2026-03-21,"March 21, 2026","March 21, 2026",2026-03-18,"March 18, 2026",FluSight-ensemble
