"model_id","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"02","pmf","large_increase",0
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"01","pmf","large_increase",3.22081166181931e-08
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"05","pmf","large_increase",3.44169137633799e-15
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"04","pmf","large_increase",4.49538979374609e-08
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"06","pmf","large_increase",0
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"08","pmf","large_increase",1.29147248451034e-09
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"09","pmf","large_increase",2.28462900484505e-05
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"11","pmf","large_increase",0
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"10","pmf","large_increase",2.22044604925031e-16
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"12","pmf","large_increase",1.23920122785393e-06
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"13","pmf","large_increase",0
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"15","pmf","large_increase",1.0452051768528e-06
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"19","pmf","large_increase",1.9463709133305e-07
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"16","pmf","large_increase",1.80007552134098e-05
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"17","pmf","large_increase",0.00042730787230405
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"18","pmf","large_increase",1.32122747047436e-05
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"20","pmf","large_increase",3.83710674345394e-09
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"21","pmf","large_increase",1.04616707461425e-05
"FluSight-ens_q_cat",2024-01-13,0,"wk flu hosp rate change",2024-01-13,"22","pmf","large_increase",0.000351227339261295
