"location","horizon","target_end_date","reference_date","target","output_type","output_type_id","value"
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.01",2.10568185896393
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.025",4.27022037199091
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.05",6.26644365403951
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.1",8.20230831116382
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.15",9.91180409989312
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.2",11.4596234909686
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.25",12.5636481750358
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.3",13.7797933165236
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.35",14.6757300792837
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.4",16.0128167783109
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.45",17.1437001158897
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.5",18.5224157823475
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.55",19.4475702205098
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.6",20.3077355281397
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.65",21.0545773395251
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.7",22.2531158752999
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.75",23.6767850440113
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.8",25.3574748021027
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.85",27.5230912644024
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.9",30.2545683894683
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.95",34.1680337430447
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.975",40.5533680839161
"01",0,2025-05-10,2025-05-10,"wk inc flu hosp","quantile","0.99",49.5693378578856
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.01",1.46188138673885
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.025",2.98448664791074
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.05",3.46766247123755
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.1",3.99446562371258
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.15",5.49568725676624
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.2",7.74399950627249
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.25",9.00665340608612
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.3",10.4310179034776
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.35",12.1738394924554
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.4",13.5107928650936
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.45",14.6842487952396
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.5",16.221041071429
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.55",17.4531139814409
"01",1,2025-05-17,2025-05-10,"wk inc flu hosp","quantile","0.6",18.7173747736596
