location,horizon,target_end_date,reference_date,target,output_type,output_type_id,value
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.01,356.508298659157
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.025,422.35265704611
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.05,472.831841961736
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.1,540.790964785326
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.15,572.927359069451
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.2,591.332017727214
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.25,599.479948091885
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.3,620.057936054273
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.35,635.190085238649
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.4,648.459485866249
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.45,661.36639415373
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.5,677.403310692726
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.55,683.713582911568
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.6,699.633111633159
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.65,715.584320366614
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.7,743.658453836341
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.75,784.753729477624
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.8,821.819188387247
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.85,852.717366112621
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.9,912.477577324769
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.95,955.814963187694
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.975,1006.14413819621
01,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.99,1156.55832439893
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.01,301.586818750858
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.025,350.867106813542
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.05,391.783841984327
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.1,462.140245321437
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.15,505.289209968746
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.2,535.902630454421
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.25,572.916823213263
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.3,598.33423439925
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.35,612.279201280651
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.4,628.365246593471
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.45,651.072687760687
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.5,664.198146008019
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.55,682.422096481153
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.6,693.323374138355
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.65,713.425286059787
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.7,735.961222266674
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.75,779.3428411965
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.8,838.853065300176
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.85,912.535205980648
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.9,1032.15669584691
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.95,1161.45796329077
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.975,1242.96733570922
01,1,2025-01-18,2025-01-11,wk inc flu hosp,quantile,0.99,1339.35282017842
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.01,228.663179172781
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.025,273.080913604367
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.05,305.816803012501
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.1,367.91886586494
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.15,412.538964744591
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.2,441.811938622021
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.25,480.071975625339
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.3,516.928681139838
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.35,538.435105669379
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.4,567.87732508633
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.45,588.505075591608
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.5,610.648106463036
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.55,629.585300211263
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.6,649.647059321461
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.65,673.50435453911
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.7,694.910744357539
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.75,732.557556236862
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.8,810.162672765514
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.85,901.635724435501
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.9,1031.68342794102
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.95,1179.48563549528
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.975,1338.49940166155
01,2,2025-01-25,2025-01-11,wk inc flu hosp,quantile,0.99,1522.30295160021
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.01,163.192283909801
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.025,203.322046451928
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.05,234.152925683067
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.1,283.247076364647
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.15,320.418699373916
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.2,350.026235954645
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.25,379.477497169728
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.3,418.284471240317
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.35,443.85364975019
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.4,469.263237398685
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.45,498.378490655192
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.5,525.264597973273
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.55,551.728730318937
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.6,574.418006508418
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.65,604.764838602017
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.7,637.11534258264
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.75,678.69969470509
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.8,760.880363121597
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.85,862.616722086506
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.9,1017.48251321758
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.95,1157.87413929035
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.975,1322.62311736982
01,3,2025-02-01,2025-01-11,wk inc flu hosp,quantile,0.99,1566.56503942565
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.01,21.9302614531792
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.025,27.0821007851504
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.05,32.8215482729857
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.1,40.089385547717
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.15,43.9766286929436
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.2,46.6004568222819
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.25,50.3815580427049
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.3,53.1201001168001
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.35,55.5121636895859
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.4,58.7929951621008
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.45,62.1264153617231
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.5,65.4669140699469
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.55,68.6521775649721
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.6,71.2275227096999
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.65,74.5728094068446
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.7,77.849550194045
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.75,82.8291352398863
02,0,2025-01-11,2025-01-11,wk inc flu hosp,quantile,0.8,86.1785320080439
