location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,146.63624243914754
02,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,6.443672389347138
04,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,626.2216938311266
05,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,61.193737405693696
06,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,834.5495113576274
08,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,159.6691740639686
09,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,49.79923887132156
10,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,13.902370490727609
11,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,7.145742733972847
12,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,951.7194369236487
13,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,312.2410934144303
15,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,17.65948223692386
16,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,65.06438385205698
17,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,433.47889648029036
18,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,258.3821323069644
19,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,45.80001456621506
20,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,85.30700471053669
21,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,127.84586589999064
22,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,154.44882622816772
23,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,5.670511030416359
24,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,68.39331921901382
25,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,142.93142397674623
26,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,233.89910448780796
27,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,99.46175711896292
28,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,100.80212970028343
29,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,189.1056037480988
30,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,17.314108764764644
31,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,41.03354444105364
32,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,70.39397215262112
33,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,17.948389109858738
34,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,284.2065023916313
35,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,73.52644203058145
36,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,727.7680491216895
37,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,270.1054490568127
38,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,1.545395013181843
39,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,333.2405080571357
40,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,119.17370698865956
41,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,111.99371484135528
42,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,449.8581624212698
44,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,15.93254936282831
45,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,142.90983002375364
46,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,11.805264854168723
47,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,271.01878427889585
48,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,1129.8349527196915
49,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,57.78226555046901
50,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,7.4356698013391
51,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,200.5350120606761
53,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,189.43670868190412
54,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,37.12554776427564
55,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,111.44764919717362
56,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,20.085427045172846
72,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,0.0
US,2025-01-04,0,2025-01-04,wk inc flu hosp,quantile,0.01,14062.411000034208
01,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,121.93988683235814
02,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,5.27656194489605
04,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,563.8067115317053
05,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,58.07933878829769
06,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,685.6042950079756
08,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,141.9878947125425
09,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,47.57172819717902
10,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,12.202727055534206
11,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,6.632160123611686
12,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,825.6759708921894
13,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,273.8082658402842
15,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,13.166580438734531
16,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,56.010213477905616
17,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,378.3261347785463
18,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,234.10880574598815
19,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,42.39389351676321
20,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,69.99366312011405
21,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,116.17766673674971
22,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,135.34816097184978
23,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,5.228355163861951
24,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,60.48952773618323
25,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,132.02591300344457
26,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,214.12480247798788
27,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,88.70062088794086
28,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,91.01579404614414
29,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,178.80321039051825
30,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,15.859982834861418
31,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,37.77127841251119
32,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,55.82572149972628
33,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,16.40901541741292
34,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,250.3165515132094
35,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,59.70685846887799
36,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,659.7921276688747
37,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,238.05765892182725
38,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,1.4212914393050273
39,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,310.4510757981357
40,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,112.39739680787524
41,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,87.82791879412049
42,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,419.4792289846754
44,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,12.918723074828051
45,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,130.61453961592406
46,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,11.174014637197459
47,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,241.43173467682618
48,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,1009.1340698059677
49,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,49.59916443005221
50,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,6.759211642466061
51,2025-01-04,1,2025-01-11,wk inc flu hosp,quantile,0.01,182.2430243469046
