location,horizon,target_end_date,reference_date,target,output_type,output_type_id,value
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.01,217.919524580557
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.025,258.278724149585
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.05,286.104798516897
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.1,305.197527517671
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.15,313.876353491148
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.2,321.667161535533
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.25,329.425462123902
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.3,337.01693037568
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.35,346.828216758864
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.4,354.960520756215
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.45,364.818136520891
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.5,376.846169138778
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.55,383.601549238301
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.6,395.514482293795
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.65,408.730479223183
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.7,421.842507677896
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.75,443.232896323895
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.8,470.23456886271
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.85,502.907814051625
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.9,553.614672423996
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.95,642.907775704758
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.975,733.125669341662
01,0,2025-01-18,2025-01-18,wk inc flu hosp,quantile,0.99,798.716301346252
01,1,2025-01-25,2025-01-18,wk inc flu hosp,quantile,0.01,157.784586193902
01,1,2025-01-25,2025-01-18,wk inc flu hosp,quantile,0.025,182.588084201408
01,1,2025-01-25,2025-01-18,wk inc flu hosp,quantile,0.05,199.476751060997
01,1,2025-01-25,2025-01-18,wk inc flu hosp,quantile,0.1,222.707964211362
