"location","horizon","target_end_date","reference_date","target","output_type","output_type_id","value"
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.01",63.9269606200279
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.025",77.6812098991413
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.05",87.5278842820623
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.1",95.54813933468
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.15",101.842714382217
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.2",106.650778155837
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.25",111.529320544434
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.3",115.378450965533
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.35",120.051220776291
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.4",124.726314494048
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.45",129.141297286426
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.5",132.420726536082
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.55",137.657797645614
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.6",142.27367333011
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.65",146.99107387383
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.7",150.448402956285
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.75",155.528634849525
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.8",159.923247502811
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.85",166.908708670095
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.9",177.055366823977
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.95",193.698927861092
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.975",212.917769487362
"01",0,2025-03-29,2025-03-29,"wk inc flu hosp","quantile","0.99",247.355501821604
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.01",38.6485570697812
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.025",49.4332044971653
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.05",57.0869832869361
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.1",64.935127657008
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.15",72.4058283896854
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.2",80.7479253501938
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.25",87.4591445037268
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.3",91.1186804619098
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.35",96.7278608565439
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.4",102.637906335587
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.45",107.960099298075
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.5",112.037366025473
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.55",117.280947230809
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.6",124.12947371647
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.65",129.830800807614
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.7",137.096007291394
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.75",143.130698379531
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.8",150.814033243217
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.85",159.691683611616
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.9",173.465055261305
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.95",199.426937933054
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.975",226.937434354653
"01",1,2025-04-05,2025-03-29,"wk inc flu hosp","quantile","0.99",270.721359708381
