"","reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
"1",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.01",3
"2",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.025",10
"3",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.05",35
"4",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.1",94
"5",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.15",172
"6",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.2",250
"7",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.25",328
"8",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.3",406
"9",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.35",484
"10",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.4",562
"11",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.45",640
"12",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.5",718
"13",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.55",796
"14",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.6",874
"15",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.65",952
"16",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.7",1029
"17",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.75",1107
"18",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.8",1185
"19",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.85",1263
"20",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.9",1341
"21",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.95",1419
"22",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.975",1458
"23",2024-11-23,"peak inc flu hosp",NA,NA,"01","quantile","0.99",1481
"24",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.01",0
"25",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.025",1
"26",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.05",5
"27",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.1",14
"28",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.15",25
"29",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.2",36
"30",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.25",47
"31",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.3",58
"32",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.35",69
"33",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.4",81
"34",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.45",92
"35",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.5",103
"36",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.55",114
"37",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.6",125
"38",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.65",137
"39",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.7",148
"40",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.75",159
"41",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.8",170
"42",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.85",181
"43",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.9",193
"44",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.95",204
"45",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.975",209
"46",2024-11-23,"peak inc flu hosp",NA,NA,"02","quantile","0.99",213
"47",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.01",4
"48",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.025",14
"49",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.05",51
"50",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.1",137
"51",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.15",251
"52",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.2",364
"53",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.25",477
"54",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.3",591
"55",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.35",704
"56",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.4",817
"57",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.45",931
"58",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.5",1044
"59",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.55",1157
"60",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.6",1271
"61",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.65",1384
"62",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.7",1498
"63",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.75",1611
"64",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.8",1724
"65",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.85",1838
"66",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.9",1951
"67",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.95",2064
"68",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.975",2121
"69",2024-11-23,"peak inc flu hosp",NA,NA,"04","quantile","0.99",2155
"70",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.01",2
"71",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.025",6
"72",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.05",21
"73",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.1",57
"74",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.15",103
"75",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.2",150
"76",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.25",197
"77",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.3",244
"78",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.35",291
"79",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.4",337
"80",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.45",384
"81",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.5",431
"82",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.55",478
"83",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.6",525
"84",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.65",571
"85",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.7",618
"86",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.75",665
"87",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.8",712
"88",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.85",759
"89",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.9",805
"90",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.95",852
"91",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.975",876
"92",2024-11-23,"peak inc flu hosp",NA,NA,"05","quantile","0.99",890
"93",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.01",23
"94",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.025",75
"95",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.05",265
"96",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.1",719
"97",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.15",1314
"98",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.2",1908
"99",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.25",2502
"100",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.3",3097
"101",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.35",3691
"102",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.4",4286
"103",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.45",4880
"104",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.5",5475
"105",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.55",6069
"106",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.6",6663
"107",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.65",7258
"108",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.7",7852
"109",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.75",8447
"110",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.8",9041
"111",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.85",9636
"112",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.9",10230
"113",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.95",10825
"114",2024-11-23,"peak inc flu hosp",NA,NA,"06","quantile","0.975",11122
