reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.01,3
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.025,4
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.05,4
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.1,5
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.15,5
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.2,6
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.25,6
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.3,6
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.35,7
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.4,7
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.45,7
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.5,7
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.55,8
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.6,8
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.65,8
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.7,9
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.75,9
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.8,9
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.85,10
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.9,10
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.95,11
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.975,12
2026-05-16,wk inc flu hosp,0,45,2026-05-16,quantile,0.99,13
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.01,3
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.025,4
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.05,4
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.1,5
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.15,5
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.2,6
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.25,6
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.3,6
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.35,7
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.4,7
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.45,8
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.5,8
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.55,8
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.6,9
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.65,9
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.7,10
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.75,10
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.8,10
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.85,11
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.9,11
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.95,13
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.975,14
2026-05-16,wk inc flu hosp,1,45,2026-05-23,quantile,0.99,15
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.01,3
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.025,3
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.05,4
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.1,5
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.15,5
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.2,6
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.25,6
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.3,7
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.35,7
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.4,8
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.45,8
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.5,9
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.55,9
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.6,10
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.65,10
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.7,11
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.75,11
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.8,11
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.85,12
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.9,13
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.95,15
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.975,16
2026-05-16,wk inc flu hosp,2,45,2026-05-30,quantile,0.99,18
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.01,3
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.025,3
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.05,4
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.1,5
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.15,5
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.2,6
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.25,7
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.3,7
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.35,8
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.4,8
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.45,9
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.5,9
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.55,10
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.6,11
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.65,11
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.7,12
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.75,13
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.8,13
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.85,14
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.9,15
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.95,17
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.975,19
2026-05-16,wk inc flu hosp,3,45,2026-06-06,quantile,0.99,22
