reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.01,21
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.025,23
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.05,26
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.1,29
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.15,31
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.2,32
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.25,34
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.3,36
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.35,37
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.4,38
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.45,40
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.5,41
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.55,43
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.6,44
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.65,46
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.7,48
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.75,49
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.8,50
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.85,52
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.9,54
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.95,59
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.975,63
2026-03-21,wk inc flu hosp,0,45,2026-03-21,quantile,0.99,68
2026-03-21,wk inc flu hosp,1,45,2026-03-28,quantile,0.01,12
2026-03-21,wk inc flu hosp,1,45,2026-03-28,quantile,0.025,14
2026-03-21,wk inc flu hosp,1,45,2026-03-28,quantile,0.05,15
2026-03-21,wk inc flu hosp,1,45,2026-03-28,quantile,0.1,17
2026-03-21,wk inc flu hosp,1,45,2026-03-28,quantile,0.15,19
2026-03-21,wk inc flu hosp,1,45,2026-03-28,quantile,0.2,20
2026-03-21,wk inc flu hosp,1,45,2026-03-28,quantile,0.25,22
