reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.01,117
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.025,117
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.05,127
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.1,134
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.15,177
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.2,177
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.25,177
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.3,188
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.35,188
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.4,194
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.45,209
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.5,209
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.55,209
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.6,211
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.65,217
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.7,223
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.75,233
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.8,238
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.85,258
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.9,316
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.95,377
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.975,377
2026-01-31,wk inc flu hosp,0,45,2026-01-31,quantile,0.99,377
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.01,60
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.025,60
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.05,64
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.1,64
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.15,100
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.2,100
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.25,100
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.3,107
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.35,116
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.4,134
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.45,150
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.5,150
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.55,150
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.6,150
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.65,150
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.7,150
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.75,153
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.8,160
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.85,172
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.9,182
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.95,192
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.975,210
2026-01-31,wk inc flu hosp,1,45,2026-02-07,quantile,0.99,210
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.01,21
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.025,21
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.05,36
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.1,36
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.15,55
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.2,55
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.25,55
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.3,55
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.35,70
2026-01-31,wk inc flu hosp,2,45,2026-02-14,quantile,0.4,92
