reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.01,89
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.025,103
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.05,117
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.1,135
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.15,149
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.2,161
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.25,172
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.3,183
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.35,193
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.4,203
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.45,214
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.5,225
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.55,232
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.6,240
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.65,248
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.7,257
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.75,267
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.8,279
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.85,293
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.9,312
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.95,342
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.975,371
2026-02-07,wk inc flu hosp,0,45,2026-02-07,quantile,0.99,408
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.01,57
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.025,69
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.05,82
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.1,98
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.15,112
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.2,124
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.25,135
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.3,145
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.35,156
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.4,167
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.45,178
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.5,190
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.55,199
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.6,207
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.65,216
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.7,227
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.75,238
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.8,252
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.85,269
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.9,292
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.95,329
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.975,366
2026-02-07,wk inc flu hosp,1,45,2026-02-14,quantile,0.99,413
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.01,36
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.025,46
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.05,56
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.1,71
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.15,83
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.2,93
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.25,104
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.3,114
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.35,125
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.4,136
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.45,147
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.5,159
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.55,168
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.6,177
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.65,187
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.7,198
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.75,210
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.8,225
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.85,244
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.9,270
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.95,313
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.975,356
2026-02-07,wk inc flu hosp,2,45,2026-02-21,quantile,0.99,413
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.01,21
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.025,29
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.05,37
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.1,50
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.15,61
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.2,71
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.25,81
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.3,91
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.35,102
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.4,113
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.45,125
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.5,138
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.55,147
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.6,157
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.65,168
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.7,180
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.75,195
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.8,212
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.85,235
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.9,266
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.95,321
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.975,377
2026-02-07,wk inc flu hosp,3,45,2026-02-28,quantile,0.99,454
