reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.01,60
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.025,67
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.05,73
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.1,81
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.15,87
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.2,92
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.25,96
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.3,100
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.35,104
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.4,108
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.45,112
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.5,116
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.55,120
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.6,123
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.65,127
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.7,131
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.75,133
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.8,133
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.85,135
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.9,139
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.95,147
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.975,153
2026-03-14,wk inc flu hosp,0,45,2026-03-14,quantile,0.99,162
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.01,48
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.025,54
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.05,61
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.1,69
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.15,75
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.2,80
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.25,85
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.3,89
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.35,94
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.4,98
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.45,102
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.5,107
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.55,111
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.6,115
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.65,119
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.7,123
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.75,126
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.8,126
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.85,128
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.9,133
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.95,142
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.975,150
2026-03-14,wk inc flu hosp,1,45,2026-03-21,quantile,0.99,159
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.01,41
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.025,47
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.05,54
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.1,62
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.15,69
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.2,74
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.25,80
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.3,85
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.35,90
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.4,94
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.45,99
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.5,105
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.55,109
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.6,114
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.65,119
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.7,124
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.75,127
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.8,127
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.85,129
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.9,136
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.95,146
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.975,155
2026-03-14,wk inc flu hosp,2,45,2026-03-28,quantile,0.99,167
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.01,36
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.025,43
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.05,49
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.1,58
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.15,66
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.2,72
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.25,78
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.3,83
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.35,89
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.4,94
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.45,100
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.5,106
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.55,111
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.6,117
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.65,123
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.7,129
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.75,133
2026-03-14,wk inc flu hosp,3,45,2026-04-04,quantile,0.8,133
