"","reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
"1",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.01,106.770000163516
"2",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.025,115.395552881826
"3",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.05,122.996495808899
"4",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.1,131.492566425035
"5",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.15,137.145897855885
"6",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.2,141.778784858865
"7",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.25,145.854389449428
"8",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.3,149.354526738107
"9",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.35,152.731836737311
"10",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.4,155.870456436889
"11",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.45,158.961758948674
"12",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.5,161.777611073443
"13",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.55,165.136392759975
"14",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.6,168.10196133226
"15",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.65,171.204880739488
"16",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.7,174.529164358025
"17",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.75,177.99213840147
"18",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.8,182.019191237025
"19",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.85,186.716160773609
"20",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.9,192.686439627195
"21",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.95,201.071538852593
"22",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.975,208.669875961382
"23",2024-03-30,"wk inc flu hosp",-1,2024-03-23,"06","quantile",0.99,217.512516731228
"24",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.01,56.4714777246361
"25",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.025,69.4080338573546
"26",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.05,80.3274293598864
"27",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.1,93.1581064173612
"28",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.15,101.717298608098
"29",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.2,108.728128355666
"30",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.25,114.640446743419
"31",2024-03-30,"wk inc flu hosp",0,2024-03-30,"06","quantile",0.3,120.094607870958
