reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.01,412.778,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.025,461.147,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.05,496.164,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.1,517.546,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.15,534.928,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.2,560.149,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.25,574.965,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.3,588.782,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.35,604.834,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.4,613.465,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.45,623.276,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.5,635.578,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.55,647.453,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.6,662.489,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.65,679.9,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.7,691.369,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.75,701.971,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.8,723.686,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.85,742.265,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.9,763.269,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.95,773.236,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.975,802.896,0
2025-02-15,wk inc flu hosp,2025-02-15,01,quantile,0.99,844.714,0
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.01,350.373,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.025,377.829,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.05,387.888,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.1,441.755,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.15,485.36,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.2,510.607,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.25,531.327,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.3,538.249,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.35,556.654,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.4,587.317,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.45,605.137,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.5,622.237,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.55,633.294,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.6,646.825,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.65,670.902,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.7,692.865,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.75,714.653,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.8,749.811,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.85,758.64,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.9,787.695,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.95,815.023,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.975,833.505,1
2025-02-15,wk inc flu hosp,2025-02-22,01,quantile,0.99,852.127,1
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.01,213.009,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.025,335.03,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.05,361.259,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.1,418.738,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.15,436.62,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.2,492.281,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.25,520.269,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.3,529.332,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.35,545.862,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.4,576.833,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.45,597.478,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.5,616.083,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.55,636.453,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.6,658.332,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.65,691.668,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.7,731.403,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.75,751.983,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.8,764.522,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.85,789.86,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.9,807.397,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.95,857.511,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.975,918.556,2
2025-02-15,wk inc flu hosp,2025-03-01,01,quantile,0.99,959.08,2
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.01,173.368,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.025,221.372,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.05,300.593,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.1,352.728,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.15,422.697,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.2,457.595,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.25,491.395,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.3,536.182,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.35,551.759,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.4,571.009,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.45,594.64,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.5,606.122,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.55,633.26,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.6,659.489,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.65,688.261,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.7,723.805,3
2025-02-15,wk inc flu hosp,2025-03-08,01,quantile,0.75,749.321,3
