reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.01,402.477,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.025,467.759,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.05,515.021,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.1,543.88,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.15,567.339,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.2,601.381,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.25,621.378,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.3,640.025,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.35,661.691,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.4,673.339,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.45,686.581,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.5,703.185,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.55,719.213,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.6,739.506,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.65,763.006,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.7,778.485,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.75,792.794,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.8,822.103,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.85,847.178,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.9,875.527,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.95,888.979,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.975,929.011,0
2025-02-08,wk inc flu hosp,2025-02-08,01,quantile,0.99,985.452,0
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.01,318.25,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.025,355.307,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.05,368.883,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.1,441.587,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.15,500.439,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.2,534.515,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.25,562.48,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.3,571.823,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.35,596.663,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.4,638.049,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.45,662.1,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.5,685.179,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.55,700.103,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.6,718.365,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.65,750.861,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.7,780.504,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.75,809.911,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.8,857.363,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.85,869.279,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.9,908.495,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.95,945.378,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.975,970.323,1
2025-02-08,wk inc flu hosp,2025-02-15,01,quantile,0.99,995.457,1
2025-02-08,wk inc flu hosp,2025-02-22,01,quantile,0.01,132.853,2
2025-02-08,wk inc flu hosp,2025-02-22,01,quantile,0.025,297.542,2
2025-02-08,wk inc flu hosp,2025-02-22,01,quantile,0.05,332.943,2
2025-02-08,wk inc flu hosp,2025-02-22,01,quantile,0.1,410.52,2
2025-02-08,wk inc flu hosp,2025-02-22,01,quantile,0.15,434.655,2
2025-02-08,wk inc flu hosp,2025-02-22,01,quantile,0.2,509.781,2
2025-02-08,wk inc flu hosp,2025-02-22,01,quantile,0.25,547.555,2
2025-02-08,wk inc flu hosp,2025-02-22,01,quantile,0.3,559.787,2
