reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.01,23.058,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.025,26.427,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.05,30.901,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.1,34.707,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.15,37.433,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.2,39.352,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.25,40.437,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.3,42.208,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.35,44.566,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.4,46.504,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.45,48.18,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.5,50.527,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.55,52.12,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.6,53.62,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.65,55.383,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.7,57.563,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.75,59.126,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.8,61.316,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.85,63.362,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.9,66.033,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.95,70.085,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.975,74.273,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.99,76.49,0
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.01,14.328,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.025,17.832,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.05,24.723,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.1,26.797,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.15,31.704,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.2,34.503,1
