model_id,weight
PSI-PROF_MOA,0.299591264669228
UGA_flucast-INFLAenza,0.165408652628411
UVAFluX-Ensemble,0.165408652628411
CEPH-Rtrend_fluH,0.0913244997131468
OHT_JHU-nbxd,0.0913244997131468
CMU-TimeSeries,0.0614619998100798
UMass-flusion,0.0504215717577525
CU-ensemble,0.0413643374178861
NAU-vulPES,0.0153700236240575
PSI-PROF,0.012609104023193
LosAlamos-DoSiDo,0.00468524914969083
Gatech-ensemble_stat,0.000646888776709322
UM-DeepOutbreak,0.000293000517010179
Cornell_JHU-hierarchSIR,0.0000893154400252327
MIGHTE-Nsemble,0.000000940046791801624
NAU-epymorph,7.00833278202067e-11
LosAlamos-ThinMint,1.43777939785096e-11
