model_id,weight
CMU-TimeSeries,0.298620555734031
Cornell_JHU-hierarchSIR,0.162580574686485
CEPH-Rtrend_fluH,0.129434339685901
NAU-FourCAT,0.111182580915654
NAU-vulPES,0.0704690582286708
Gatech-ensemble_stat,0.0653118652273089
OHT_JHU-nbxd,0.0519963603625642
UVAFluX-Ensemble,0.0305441666522083
CU-ensemble,0.0225373452710096
MIGHTE-Joint,0.0179425273225386
LosAlamos_NAU-CModel_Flu,0.0132390887565217
LosAlamos-ThinMint,0.0105399597371818
UM-DeepOutbreak,0.00492918531111609
UGA_CEID-auto_AVG_LB,0.00337087961312869
MIGHTE-Nsemble,0.00289554608346672
PSI-PROF,0.00183523717365772
LosAlamos-DoSiDo,0.00135414969109742
PSI-PROF_MOA,0.00107807142053134
NAU-epymorph,0.000138508126927989
