model_id,weight
CEPH-Rtrend_fluH,0.29873824250153
PSI-PROF_MOA,0.188777249671199
UGA_flucast-INFLAenza,0.188777249671199
CU-ensemble,0.0753819417375889
CMU-TimeSeries,0.0646874846928798
OHT_JHU-nbxd,0.0555102532441797
UMass-flusion,0.047634998174108
UVAFluX-Ensemble,0.0221661809523119
NAU-vulPES,0.0221661809523119
PSI-PROF,0.0163228790577252
UM-DeepOutbreak,0.00759558947674956
Gatech-ensemble_stat,0.00559329045755993
LosAlamos-DoSiDo,0.00559329045755993
NAU-FourCAT,0.000563587739458046
Cornell_JHU-hierarchSIR,0.000483631390077446
MIGHTE-Nsemble,6.6680204102554e-06
NAU-epymorph,1.2390228265092e-06
LosAlamos-ThinMint,4.27803251779136e-08
