model_id,weight
UGA_flucast-INFLAenza,0.297577328738797
CMU-TimeSeries,0.150456517133825
NAU-vulPES,0.141411505660272
NAU-FourCAT,0.10371783840162
OHT_JHU-nbxd,0.0593631770847389
UGA_CEID-auto_AVG_LB,0.0593631770847389
UVAFluX-Ensemble,0.0435397415446052
PSI-PROF,0.0265140324628926
Gatech-ensemble_stat,0.0234219617782301
Cornell_JHU-hierarchSIR,0.0206904888688148
PSI-PROF_MOA,0.0171787665750445
CU-ensemble,0.012599714056154
UGA_CEID-Walk,0.0118422556198403
MIGHTE-Joint,0.0111303333980935
NAU-epymorph,0.0081635091525932
CEPH-Rtrend_fluH,0.00598750094007861
MIGHTE-Nsemble,0.00284531596095486
LosAlamos_NAU-CModel_Flu,0.00196143062900612
LUcompUncertLab-puca,0.00173268827695398
LosAlamos-ThinMint,0.000501412641958489
LosAlamos-DoSiDo,1.30399078756146e-06
