model_id,weight
Cornell_JHU-hierarchSIR,0.298887045532227
OHT_JHU-nbxd,0.155720966266479
NAU-FourCAT,0.132299160791407
Gatech-ensemble_stat,0.0954942205521
NAU-vulPES,0.0811310483255838
CEPH-Rtrend_fluH,0.0811310483255838
MIGHTE-Nsemble,0.0689282237642542
CMU-TimeSeries,0.0689282237642542
CU-ensemble,0.00597787843271541
UM-DeepOutbreak,0.00507875284184864
PSI-PROF,0.00224805574175043
LosAlamos-ThinMint,0.00224805574175043
LosAlamos-DoSiDo,0.000995077881399234
PSI-PROF_MOA,0.000440460604094715
UGA_CEID-auto_AVG_LB,0.000440460604094715
NAU-epymorph,4.49621491966032e-05
LosAlamos_NAU-CModel_Flu,6.35868126039966e-06
