model_id,weight
CEPH-Rtrend_fluH,0.298568573659597
CU-ensemble,0.188481457613634
UMass-flusion,0.106059433879024
NAU-FourCAT,0.0751134497503969
NAU-vulPES,0.0669535860595508
OHT_JHU-nbxd,0.059680159826636
Cornell_JHU-hierarchSIR,0.0376751088597947
PSI-PROF_MOA,0.0335823165056253
LosAlamos-DoSiDo,0.0188969330035316
LosAlamos-ThinMint,0.0188969330035316
NAU-epymorph,0.0168440863030237
LosAlamos_NAU-CModel_Flu,0.0168440863030237
UGA_flucast-INFLAenza,0.0168440863030237
PSI-PROF,0.0150142482555601
MIGHTE-Nsemble,0.0106333962066061
MIGHTE-Joint,0.0067126891214258
UVAFluX-Ensemble,0.00533345707013138
UGA_CEID-auto_AVG_LB,0.00533345707013138
Gatech-ensemble_stat,0.00189458465284136
UM-DeepOutbreak,0.000424857964943562
UGA_CEID-Walk,0.000213098587967796
