model_id,weight
UMass-flusion,0.298988938727989
NAU-vulPES,0.233318991266534
UGA_flucast-INFLAenza,0.110875347910315
PSI-PROF_MOA,0.0865226802062261
PSI-PROF,0.0865226802062261
NAU-FourCAT,0.0411163798451338
MIGHTE-Nsemble,0.0411163798451338
LosAlamos_NAU-CModel_Flu,0.0195388849205769
OHT_JHU-nbxd,0.0152473631283374
CU-ensemble,0.0152473631283374
Cornell_JHU-hierarchSIR,0.0152473631283374
UGA_CEID-auto_AVG_LB,0.0152473631283374
NAU-epymorph,0.00724568832735142
MIGHTE-Joint,0.00441234625452665
CEPH-Rtrend_fluH,0.00441234625452665
LosAlamos-DoSiDo,0.0026869496161384
UVAFluX-Ensemble,0.0020967878500407
LosAlamos-ThinMint,0.000137024789877198
Gatech-ensemble_stat,1.88433837477717e-05
UGA_CEID-Walk,2.78082306508771e-07
