model_id,weight
CEPH-Rtrend_fluH,0.299843968483065
CMU-TimeSeries,0.299843968483065
CU-ensemble,0.217731408986332
UMass-flusion,0.158105452976123
NAU-vulPES,0.0168316700580423
OHT_JHU-nbxd,0.00339825557675365
UGA_flucast-INFLAenza,0.00246764001478996
Cornell_JHU-hierarchSIR,0.000944841806810596
NAU-FourCAT,0.000262701265320937
MIGHTE-Joint,0.000138520386990253
MIGHTE-Nsemble,0.000138520386990253
PSI-PROF_MOA,0.000100586445628047
LosAlamos-ThinMint,5.30384707410872e-05
UVAFluX-Ensemble,5.30384707410872e-05
LosAlamos-DoSiDo,5.30384707410872e-05
NAU-epymorph,1.07082825623869e-05
Gatech-ensemble_stat,5.6463962696589e-06
UGA_CEID-auto_AVG_LB,5.6463962696589e-06
PSI-PROF,5.6463962696589e-06
LosAlamos_NAU-CModel_Flu,5.6463962696589e-06
UM-DeepOutbreak,4.64684130378231e-08
UGA_CEID-Walk,9.38181078907392e-09
