,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
0,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.01,51.114
1,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.025,55.994
2,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.05,60.561
3,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.1,66.469
4,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.15,71.022
5,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.2,74.93
6,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.25,78.483
7,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.3,81.908
8,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.35,85.284
9,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.4,88.632
10,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.45,91.946
11,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.5,95.383
12,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.55,98.939
13,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.6,102.63
14,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.65,106.409
15,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.7,110.472
16,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.75,114.966
17,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.8,120.018
18,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.85,125.816
19,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.9,132.864
20,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.95,142.831
21,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.975,150.607
22,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.99,158.717
23,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.01,51.603
24,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.025,58.693
25,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.05,66.009
26,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.1,75.557
27,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.15,82.998
28,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.2,89.507
29,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.25,95.527
30,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.3,101.433
31,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.35,107.253
32,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.4,113.07
33,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.45,119.019
34,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.5,125.127
35,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.55,131.613
36,2023-12-16,wk inc flu hosp,0,2023-12-16,01,quantile,0.6,138.367
