location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,0.005427363370673,0.0127523242006322,0.01938923822863638,0.0054,0.0128,0.0194,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
US,1,0.0036192157449166,0.01073925084573708,0.01942999762375722,0.0036,0.0107,0.0194,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
US,2,0.00226817210014125,0.00867918532118664,0.0181659694741838,0.0023,0.0087,0.0182,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Alabama,0,0.00718944998169674,0.01304462704385099,0.026,0.0072,0.013,0.026,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Alabama,1,0.00315873652437867,0.00914995550437775,0.02592390244910397,0.0032,0.0091,0.0259,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Alabama,2,0.00196584876837167,0.0072112438083454,0.02326181055578058,0.002,0.0072,0.0233,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Alaska,0,0.0030317103329186,0.0094862102234512,0.01933514465482751,0.003,0.0095,0.0193,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Alaska,1,0.0018706800955229,0.0072824260904609,0.01821343662560519,0.0019,0.0073,0.0182,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Alaska,2,0.00124034163196254,0.0065291067449656,0.02070008476568146,0.0012,0.0065,0.0207,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Arizona,0,0.00799473971813042,0.0124558270152863,0.0191212289701309,0.008,0.0125,0.0191,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Arizona,1,0.00496884247141415,0.01040337573543343,0.0214,0.005,0.0104,0.0214,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Arizona,2,0.00282735016188541,0.00818426819828103,0.02002146905224449,0.0028,0.0082,0.02,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Arkansas,0,0.00830654207498151,0.01619402800825534,0.029,0.0083,0.0162,0.029,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Arkansas,1,0.0039,0.0123054735066071,0.02650222954548333,0.0039,0.0123,0.0265,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Arkansas,2,0.00266271852585936,0.00967257601824916,0.02577510685863083,0.0027,0.0097,0.0258,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
California,0,0.00620231455407997,0.01263504909530453,0.01913719407697497,0.0062,0.0126,0.0191,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
California,1,0.00372602450505742,0.01043457371446281,0.02091993320127116,0.0037,0.0104,0.0209,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
California,2,0.002,0.00889491405040346,0.02089587362953947,0.002,0.0089,0.0209,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Colorado,0,0.01253770750831277,0.01994059235114655,0.02835212782962471,0.0125,0.0199,0.0284,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Colorado,1,0.00892569309682059,0.01756244974916188,0.02993837512293794,0.0089,0.0176,0.0299,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Colorado,2,0.00720315748151498,0.01522402913604121,0.02792651717936813,0.0072,0.0152,0.0279,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Connecticut,0,0.0119,0.019320901295849,0.02825302614736646,0.0119,0.0193,0.0283,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Connecticut,1,0.00837906447731474,0.01689668046845598,0.02976950186015483,0.0084,0.0169,0.0298,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Connecticut,2,0.005038388547157,0.01487983967404392,0.0288,0.005,0.0149,0.0288,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Delaware,0,0.011059433216245,0.01827183103628617,0.03147743361050495,0.0111,0.0183,0.0315,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Delaware,1,0.00758346361362613,0.015022051253165,0.031,0.0076,0.015,0.031,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Delaware,2,0.0039,0.0124215769437456,0.0281,0.0039,0.0124,0.0281,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
District of Columbia,0,0.00300000759933572,0.00750021081271609,0.01337758831961719,0.003,0.0075,0.0134,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
District of Columbia,1,0.00153241971745818,0.00646724905666689,0.01375474577998351,0.0015,0.0065,0.0138,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
District of Columbia,2,8.962993499092924e-4,0.00532485946862055,0.01337748248484462,9e-4,0.0053,0.0134,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Florida,0,0.0071404668398109,0.01308569906997853,0.02038015865470872,0.0071,0.0131,0.0204,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Florida,1,0.003,0.01071340139757566,0.02118666631219249,0.003,0.0107,0.0212,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Florida,2,0.00154818340553384,0.00838267022460466,0.02022174097412775,0.0015,0.0084,0.0202,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Georgia,0,0.0038404185177031,0.00858231707857148,0.015,0.0038,0.0086,0.015,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Georgia,1,0.0023,0.00699606101043931,0.01524039260657673,0.0023,0.007,0.0152,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Georgia,2,0.00162480680979478,0.00537416515637771,0.01502666170944871,0.0016,0.0054,0.015,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Hawaii,0,0.01642991851719192,0.02625992956888036,0.03861139544165212,0.0164,0.0263,0.0386,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Hawaii,1,0.01086976610796594,0.0243913767814974,0.0474214298908542,0.0109,0.0244,0.0474,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Hawaii,2,0.0098,0.02313888391643177,0.0468636140665974,0.0098,0.0231,0.0469,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Idaho,0,0.00798657308414129,0.01408462016970347,0.0229,0.008,0.0141,0.0229,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Idaho,1,0.00436119990664359,0.01167171037361411,0.0224,0.0044,0.0117,0.0224,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Idaho,2,0.00229765657110025,0.00952979843693726,0.02159136066422231,0.0023,0.0095,0.0216,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Illinois,0,0.0082430547483114,0.0141299025349314,0.02121815693696085,0.0082,0.0141,0.0212,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Illinois,1,0.0056813927677067,0.0115789363539931,0.02344596054951054,0.0057,0.0116,0.0234,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Illinois,2,0.00329891133492307,0.0093112072871359,0.02270163239291585,0.0033,0.0093,0.0227,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Indiana,0,0.01116560429366533,0.01652126761275007,0.031,0.0112,0.0165,0.031,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Indiana,1,0.00513584987427417,0.0128062741116678,0.02848491308644036,0.0051,0.0128,0.0285,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Indiana,2,0.00296886470091625,0.01028728943446927,0.02781494385539293,0.003,0.0103,0.0278,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Iowa,0,0.00649617200700584,0.0118984383144273,0.02,0.0065,0.0119,0.02,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Iowa,1,0.0026908540560201,0.0089617143488286,0.01949758027979725,0.0027,0.009,0.0195,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Iowa,2,0.00159485186426652,0.00655752580156185,0.01843677195952971,0.0016,0.0066,0.0184,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Kansas,0,0.00493854128250599,0.00989108447924807,0.017,0.0049,0.0099,0.017,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Kansas,1,0.0021979294024402,0.0075325846351726,0.01731912759412755,0.0022,0.0075,0.0173,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Kansas,2,0.00154598202942769,0.00548791705794096,0.01784555653945016,0.0015,0.0055,0.0178,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Kentucky,0,0.009806159378876,0.0172,0.03070592466556858,0.0098,0.0172,0.0307,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Kentucky,1,0.0069612192280326,0.013,0.033,0.007,0.013,0.033,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Kentucky,2,0.00400847354250998,0.00916160458295186,0.02678459450753032,0.004,0.0092,0.0268,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Louisiana,0,0.00304817642973375,0.00773050016960055,0.01363883524308954,0.003,0.0077,0.0136,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Louisiana,1,0.00182030731607421,0.00586251428518772,0.01593310076895086,0.0018,0.0059,0.0159,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Louisiana,2,0.00112410767176509,0.00446221325142233,0.01499021696669306,0.0011,0.0045,0.015,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Maine,0,0.00508033106199547,0.0107,0.0179,0.0051,0.0107,0.0179,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Maine,1,0.0029,0.00869699881341709,0.018,0.0029,0.0087,0.018,2026-04-04,2026-03-28,"April 04, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Maine,2,0.0018886239424025,0.00716668157568579,0.0166980862002502,0.0019,0.0072,0.0167,2026-04-11,2026-03-28,"April 11, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
Maryland,0,0.0053217171405226,0.0101391855006341,0.01599567248462184,0.0053,0.0101,0.016,2026-03-28,2026-03-28,"March 28, 2026","March 28, 2026",2026-03-25,"March 25, 2026",FluSight-ensemble
