location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,0.01637873236517464,0.03010792113298326,0.04321055404080076,0.0164,0.0301,0.0432,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
US,1,0.00930003785164784,0.0260671624206707,0.05091891551927392,0.0093,0.0261,0.0509,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
US,2,0.0053402262392931,0.0202475481958156,0.0549388905301719,0.0053,0.0202,0.0549,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Alabama,0,0.01656284091746401,0.02944782592267391,0.04744514133564888,0.0166,0.0294,0.0474,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Alabama,1,0.00906825802547602,0.02512141377562641,0.06016047474289136,0.0091,0.0251,0.0602,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Alabama,2,0.005657702283584,0.0179019565165407,0.07220497910376658,0.0057,0.0179,0.0722,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Alaska,0,0.02875322111631039,0.04951500299496393,0.07036702253052772,0.0288,0.0495,0.0704,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Alaska,1,0.01908256828312686,0.04141181142084958,0.09073878351645064,0.0191,0.0414,0.0907,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Alaska,2,0.01201629179907167,0.036665520575278,0.10390813317303184,0.012,0.0367,0.1039,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Arizona,0,0.0088396910240624,0.01623588052160375,0.02769124688266638,0.0088,0.0162,0.0277,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Arizona,1,0.00546106677078349,0.01518965966813482,0.03698843244532626,0.0055,0.0152,0.037,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Arizona,2,0.00348332237484333,0.01442569360742001,0.03877526632473195,0.0035,0.0144,0.0388,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Arkansas,0,0.01773773047869222,0.0298860239691191,0.0478363223607984,0.0177,0.0299,0.0478,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Arkansas,1,0.01101056021426335,0.02810348535247988,0.06552801021377597,0.011,0.0281,0.0655,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Arkansas,2,0.00617009634205997,0.02556401615353079,0.06361456839597794,0.0062,0.0256,0.0636,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
California,0,0.01481583184540163,0.02566709446125971,0.03839672185470177,0.0148,0.0257,0.0384,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
California,1,0.01095461358153733,0.0242040697026908,0.05047363868812769,0.011,0.0242,0.0505,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
California,2,0.00799000214139648,0.022443650317998,0.05054899101201476,0.008,0.0224,0.0505,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Colorado,0,0.01168685175761111,0.01875337087850152,0.03443294131671761,0.0117,0.0188,0.0344,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Colorado,1,0.00521951948597175,0.01256065725973316,0.03955806009699397,0.0052,0.0126,0.0396,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Colorado,2,0.00320971948030837,0.00966354626535765,0.05549631705751219,0.0032,0.0097,0.0555,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Connecticut,0,0.0103824253908363,0.02252477267480977,0.03729700267967273,0.0104,0.0225,0.0373,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Connecticut,1,0.00387676444201017,0.01605757160870254,0.04776407562182037,0.0039,0.0161,0.0478,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Connecticut,2,0.00319160919666853,0.0123546020306422,0.06111942542418133,0.0032,0.0124,0.0611,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Delaware,0,0.02274846970768072,0.03672826967461558,0.06049235596437012,0.0227,0.0367,0.0605,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Delaware,1,0.01266143193142228,0.03247019457991292,0.06999144740285407,0.0127,0.0325,0.07,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Delaware,2,0.0052746476307479,0.0318913410162365,0.08609194663005174,0.0053,0.0319,0.0861,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
District of Columbia,0,0.01232183203793249,0.02338898778565645,0.04098090014910609,0.0123,0.0234,0.041,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
District of Columbia,1,0.00539790976727815,0.01689450891417797,0.04410583419931074,0.0054,0.0169,0.0441,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
District of Columbia,2,0.0023430766927117,0.010405246636913,0.05850423390297096,0.0023,0.0104,0.0585,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Florida,0,0.02330948110282547,0.03335951769217291,0.0498397304332801,0.0233,0.0334,0.0498,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Florida,1,0.01703356881822237,0.0319181681381019,0.05860095428890231,0.017,0.0319,0.0586,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Florida,2,0.01180128119557998,0.02827080675804209,0.07453981826249587,0.0118,0.0283,0.0745,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Georgia,0,0.0088687735897761,0.01816164887666836,0.0288737586161942,0.0089,0.0182,0.0289,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Georgia,1,0.00492362871343931,0.01485527034072281,0.0379478367606542,0.0049,0.0149,0.0379,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Georgia,2,0.00296294970791077,0.0126661389433584,0.0458432351962955,0.003,0.0127,0.0458,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Hawaii,0,0.01926232907340601,0.03399529039614633,0.05458038639864852,0.0193,0.034,0.0546,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Hawaii,1,0.0095586848510377,0.0296883563667441,0.060932183474386,0.0096,0.0297,0.0609,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Hawaii,2,0.00752700577251993,0.0279309607132263,0.08581384123323942,0.0075,0.0279,0.0858,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Idaho,0,0.01660468406613196,0.02669042003942152,0.04027151860778283,0.0166,0.0267,0.0403,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Idaho,1,0.0088599539603677,0.02333140328533879,0.05117564865907878,0.0089,0.0233,0.0512,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Idaho,2,0.00499385859347265,0.02213622464868659,0.05989056905087969,0.005,0.0221,0.0599,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Illinois,0,0.01573876880548311,0.02859316407926635,0.03985571004438608,0.0157,0.0286,0.0399,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Illinois,1,0.00824571888607377,0.02543536188078248,0.05537814201353246,0.0082,0.0254,0.0554,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Illinois,2,0.00390300863889925,0.0191290800941725,0.06463184714583242,0.0039,0.0191,0.0646,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Indiana,0,0.01476210191047333,0.02748491434516069,0.03975000945474834,0.0148,0.0275,0.0398,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Indiana,1,0.00756174063561785,0.02319930023383206,0.05603834160246584,0.0076,0.0232,0.056,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Indiana,2,0.00372168260420076,0.0178678112926201,0.0603059695080758,0.0037,0.0179,0.0603,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Iowa,0,0.0315252908512365,0.05292937028746146,0.07728253644263555,0.0315,0.0529,0.0773,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Iowa,1,0.02223659974410804,0.04949223731533742,0.09673499338885956,0.0222,0.0495,0.0967,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Iowa,2,0.01640493586886211,0.04510806752689951,0.0996271455047068,0.0164,0.0451,0.0996,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Kansas,0,0.02419430627757103,0.04158388134788894,0.06176440957626068,0.0242,0.0416,0.0618,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Kansas,1,0.01684600782095297,0.03870197432864993,0.08040023074317468,0.0168,0.0387,0.0804,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Kansas,2,0.01187222046538401,0.03591066141421235,0.0848378477399304,0.0119,0.0359,0.0848,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Kentucky,0,0.018568379012377,0.03059905560140583,0.04905845509067456,0.0186,0.0306,0.0491,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Kentucky,1,0.01053729471795883,0.02803051253279795,0.06328128444720282,0.0105,0.028,0.0633,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Kentucky,2,0.00573601121408779,0.0257356183630121,0.06828911430311659,0.0057,0.0257,0.0683,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Louisiana,0,0.01692790061763262,0.02713716993139789,0.04925260401690723,0.0169,0.0271,0.0493,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Louisiana,1,0.00965496240695812,0.02380159675423345,0.06153451472099877,0.0097,0.0238,0.0615,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Louisiana,2,0.00591864528310323,0.01853307564660319,0.07439807068647072,0.0059,0.0185,0.0744,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Maine,0,0.01997256232328412,0.0351403574662191,0.05616381442440828,0.02,0.0351,0.0562,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Maine,1,0.00910871764267788,0.03188594214385135,0.06593127736476509,0.0091,0.0319,0.0659,2026-01-31,2026-01-24,"January 31, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Maine,2,0.00468621427435422,0.029124254900157,0.08217336528038996,0.0047,0.0291,0.0822,2026-02-07,2026-01-24,"February 07, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
Maryland,0,0.01296063533343734,0.02264082032162646,0.03994553353885141,0.013,0.0226,0.0399,2026-01-24,2026-01-24,"January 24, 2026","January 24, 2026",2026-01-21,"January 21, 2026",FluSight-ensemble
