reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.01,70.5
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.025,81.2649154663086
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.05,89.7649154663086
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.1,104.80192350685272
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.15,129.5
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.2,141.47104860000002
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.25,158.5589936462399
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.3,174.1685
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.35,192.5767008408693
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.4,212.144
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.45,220.1865
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.5,253.64350000000002
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.55,270.7735
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.6,291.3325
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.65,304.885
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.7,318.77
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.75,333.33500000000004
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.8,347.90999999999997
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.85,370.5
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.9,428.98192897438213
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.95,460.3582874145508
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.975,483.709
2025-03-01,01,0,wk inc flu hosp,2025-03-01,quantile,0.99,600.942
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.01,32.79670408086152
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.025,43.25280680511223
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.05,57
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.1,68.5
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.15,80
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.2,89.717164365
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.25,111
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.3,136.77897033500682
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.35,147.58681740951485
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.4,178.92716381569005
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.45,200.24200000000002
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.5,229.03313397216795
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.55,241.6945600575923
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.6,260.560615114974
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.65,283.41999999999996
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.7,294.7713085956573
2025-03-01,01,1,wk inc flu hosp,2025-03-08,quantile,0.75,314.505
