model_id,reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.01,248
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.025,310
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.05,369
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.1,424.4817199707031
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.15,465
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.2,493
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.25,520
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.3,545
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.35,578.1753142140819
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.4,593.6760169793088
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.45,615
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.5,633
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.55,642
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.6,652
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.65,668
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.7,687
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.75,720
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.8,754
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.85,794
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.9,846.5667419433594
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.95,917.9544610159699
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.975,950
FluSight-trained_med,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.99,961
FluSight-trained_med,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.01,163
FluSight-trained_med,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.025,204
FluSight-trained_med,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.05,263
