"","reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
"1",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"01","quantile","0.01",35.6805239490741
"2",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"02","quantile","0.01",24.2693535435583
"3",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"04","quantile","0.01",45.1396077817308
"4",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"05","quantile","0.01",21.100569684759
"5",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"06","quantile","0.01",43.2676420582289
"6",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"08","quantile","0.01",19.7620947769017
"7",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"09","quantile","0.01",3.74470650423023
"8",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"10","quantile","0.01",0.398339766607453
"9",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"11","quantile","0.01",2.87151615703804
"10",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"12","quantile","0.01",1326.88973600723
"11",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"13","quantile","0.01",38.0215751287306
"12",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"15","quantile","0.01",23.6631194615375
"13",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"16","quantile","0.01",2.03545102729717
"14",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"17","quantile","0.01",22.5042926224044
"15",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"18","quantile","0.01",24.119354531424
"16",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"19","quantile","0.01",4.72468483857793
"17",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"20","quantile","0.01",5.33183304782297
"18",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"21","quantile","0.01",13.0747897983764
"19",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"22","quantile","0.01",35.4428870656067
"20",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"23","quantile","0.01",1.53666078587879
"21",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"24","quantile","0.01",6.11745237625224
"22",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"25","quantile","0.01",11.6780206197735
"23",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"26","quantile","0.01",23.6709623894904
"24",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"27","quantile","0.01",6.26813595364097
"25",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"28","quantile","0.01",19.7946774578886
"26",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"29","quantile","0.01",13.0048317297173
"27",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"30","quantile","0.01",1.55281266690393
"28",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"31","quantile","0.01",12.4136674582644
"29",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"32","quantile","0.01",4.21119336909262
"30",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"33","quantile","0.01",1.09193474738116
"31",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"34","quantile","0.01",24.7534480372362
"32",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"35","quantile","0.01",5.96535340741193
"33",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"36","quantile","0.01",24.2540436861301
"34",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"37","quantile","0.01",10.6940597783799
"35",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"38","quantile","0.01",0.895537261482847
"36",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"39","quantile","0.01",22.7261582248911
"37",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"40","quantile","0.01",17.5742739599674
"38",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"41","quantile","0.01",4.28998062262449
"39",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"42","quantile","0.01",26.6877088438768
"40",2023-10-28,"wk inc flu hosp",-1,2023-10-21,"72","quantile","0.01",114.518810619443
