output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,2,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.025,2,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.05,3,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.1,4,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.15,5,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.2,5,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.25,6,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.3,6,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.35,7,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.4,7,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.45,8,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.5,8,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.55,9,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.6,9,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.65,10,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.7,10,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.75,11,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.8,12,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.85,13,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.9,14,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.95,16,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.975,18,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.99,20,2026-04-04,wk inc flu hosp,-1,2026-03-28,02
quantile,0.01,16,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.025,18,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.05,20,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.1,23,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.15,24,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.2,26,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.25,27,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.3,28,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.35,29,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.4,30,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.45,32,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.5,32,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.55,33,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
quantile,0.6,35,2026-04-04,wk inc flu hosp,-1,2026-03-28,01
