reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.01,16.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.025,32.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.05,42.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.1,56.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.15,64.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.2,70.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.25,77.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.3,82.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.35,87.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.4,91.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.45,95.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.5,100.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.55,104.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.6,109.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.65,113.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.7,117.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.75,123.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.8,129.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.85,136.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.9,145.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.95,156.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.975,165.0
2024-11-30,2024-11-23,-1.0,01,wk inc flu hosp,quantile,0.99,182.0
