"reference_date","target_end_date","horizon","location","target","output_type","output_type_id","value"
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.01",357
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.025",364
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.05",375
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.1",398
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.15",425
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.2",453
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.25",483
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.3",514
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.35",546
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.4",580
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.45",615
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.5",649
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.55",685
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.6",720
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.65",753
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.7",786
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.75",817
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.8",847
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.85",875
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.9",900
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.95",925
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.975",936
"2025-02-15","2025-02-08",-1,"01","wk inc flu hosp","quantile","0.99",943
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.01",251
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.025",258
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.05",269
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.1",293
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.15",320
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.2",348
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.25",378
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.3",409
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.35",442
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.4",475
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.45",510
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.5",546
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.55",580
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.6",615
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.65",649
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.7",682
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.75",714
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.8",743
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.85",772
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.9",797
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.95",822
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.975",833
"2025-02-15","2025-02-15",0,"01","wk inc flu hosp","quantile","0.99",839
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.01",185
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.025",191
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.05",202
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.1",225
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.15",252
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.2",279
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.25",309
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.3",340
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.35",371
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.4",404
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.45",439
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.5",473
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.55",508
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.6",543
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.65",575
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.7",608
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.75",640
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.8",668
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.85",696
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.9",721
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.95",745
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.975",756
"2025-02-15","2025-02-22",1,"01","wk inc flu hosp","quantile","0.99",762
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.01",158
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.025",164
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.05",175
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.1",200
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.15",225
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.2",254
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.25",285
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.3",317
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.35",349
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.4",384
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.45",419
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.5",455
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.55",489
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.6",525
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.65",558
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.7",593
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.75",624
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.8",654
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.85",682
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.9",709
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.95",732
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.975",743
"2025-02-15","2025-03-01",2,"01","wk inc flu hosp","quantile","0.99",751
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.01",200
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.025",207
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.05",218
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.1",241
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.15",265
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.2",291
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.25",321
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.3",351
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.35",382
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.4",414
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.45",447
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.5",481
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.55",514
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.6",547
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.65",580
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.7",612
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.75",641
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.8",670
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.85",696
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.9",721
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.95",745
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.975",756
"2025-02-15","2025-03-08",3,"01","wk inc flu hosp","quantile","0.99",762
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.01",0
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.025",0
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.05",1
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.1",2
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.15",4
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.2",7
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.25",9
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.3",13
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.35",16
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.4",18
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.45",22
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.5",24
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.55",28
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.6",31
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.65",34
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.7",37
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.75",39
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.8",42
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.85",44
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.9",47
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.95",49
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.975",51
"2025-02-15","2025-02-08",-1,"02","wk inc flu hosp","quantile","0.99",51
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.01",0
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.025",0
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.05",1
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.1",2
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.15",4
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.2",6
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.25",8
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.3",11
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.35",13
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.4",16
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.45",19
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.5",22
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.55",24
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.6",27
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.65",29
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.7",32
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.75",34
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.8",37
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.85",39
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.9",42
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.95",43
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.975",44
"2025-02-15","2025-02-15",0,"02","wk inc flu hosp","quantile","0.99",44
"2025-02-15","2025-02-22",1,"02","wk inc flu hosp","quantile","0.01",0
"2025-02-15","2025-02-22",1,"02","wk inc flu hosp","quantile","0.025",0
