"reference_date","target_end_date","horizon","location","target","output_type","output_type_id","ratio","ratio_quant","value"
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.5,1.05405405405405,1.05405405405405,76
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.01,NA,1.05405405405405,17
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.025,NA,1.05405405405405,19
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.05,NA,1.05405405405405,21
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.1,NA,1.05405405405405,26
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.15,NA,1.05405405405405,31
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.2,NA,1.05405405405405,37
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.25,NA,1.05405405405405,43
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.3,NA,1.05405405405405,49
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.35,NA,1.05405405405405,55
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.4,NA,1.05405405405405,62
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.45,NA,1.05405405405405,69
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.55,NA,1.05405405405405,83
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.6,NA,1.05405405405405,90
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.65,NA,1.05405405405405,97
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.7,NA,1.05405405405405,103
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.75,NA,1.05405405405405,110
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.8,NA,1.05405405405405,115
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.85,NA,1.05405405405405,121
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.9,NA,1.05405405405405,126
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.95,NA,1.05405405405405,131
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.975,NA,1.05405405405405,133
"2025-04-12","2025-04-05",-1,"01","wk inc flu hosp","quantile",0.99,NA,1.05405405405405,134
"2025-04-12","2025-04-12",0,"01","wk inc flu hosp","quantile",0.5,0.815789473684211,0.815789473684211,60
"2025-04-12","2025-04-12",0,"01","wk inc flu hosp","quantile",0.01,NA,0.815789473684211,15
"2025-04-12","2025-04-12",0,"01","wk inc flu hosp","quantile",0.025,NA,0.815789473684211,16
"2025-04-12","2025-04-12",0,"01","wk inc flu hosp","quantile",0.05,NA,0.815789473684211,18
